	STATEWIDE SPRING PASSING RATES NON-LEP AND LEP 2000-2002						
	SOL TEST	Non-LEP	LEP	Non-LEP	LEP	Non-LEP	LEP
		2000	2000	2001	2001	2002	2002
	GRADE 3						
	ENGLISH	61	40	65	45	72	55
	MATHEMATICS	72	56	78	66	81	70
	HISTORY & SOCIAL SCIENCE	66	42	72	55	77	63
	SCIENCE	73	50	75	54	79	61
							
	GRADE 5						
	ENGLISH: READING	69	39	74	50	78	57
	ENGLISH: WRITING	81	60	85	67	84	67
	MATHEMATICS	64	45	67	50	72	56
	HISTORY & SOCIAL SCIENCE	52	27	64	39	73	55
	SCIENCE	65	37	75	52	77	52
	COMPUTER/TECHNOLOGY	85	72	83	66	87	72
							
	GRADE 8						
	ENGLISH: READING	70	39	74	43	70	40
	ENGLISH: WRITING	77	52	76	49	76	51
	MATHEMATICS	61	50	68	56	71	59
	HISTORY & SOCIAL SCIENCE	51	25	57	28	79	57
	SCIENCE	82	60	84	65	85	67
	COMPUTER/TECHNOLOGY	78	53	80	53	77	54
							
	HIGH SCHOOL						
	ENGLISH: READING	78	51	83	57	87	63
	ENGLISH: WRITING	85	64	85	55	86	61
	ALGEBRA I	65	61	75	74	79	76
	ALGEBRA II	58	64	74	72	77	76
	GEOMETRY	67	64	73	66	76	70
	U. S. HISTORY	40	13	48	22	72	43
	WORLD HISTORY I	76	54	84	68	86	73
	WORLD HISTORY II	60	34	66	44	79	62
	WORLD GEOGRAPHY	76	57	77	66	74	66
	EARTH SCIENCE	70	36	74	39	70	33
	BIOLOGY	80	46	82	57	84	56
	CHEMISTRY	64	36	74	54	79	63
							
	Spring pass rates do not include summer or fall results						
