,,,,TOTAL VIRGINIA POPULATION 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,AGE COHORTS FOR AGE ADJUSTING FORMULAS,,,,,,,,,,,
FIPS,HSA,Planning,,Total,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Region,District,Locality,Population,0,1-4,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85&OVER,,0-4,5-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,0
105,3,1,Lee County,25474,253,1053,1337,1484,906,449,1499,1527,1755,1755,1763,1755,1873,1898,1712,1543,1145,787,532,448,,1306,2821,1355,1499,3282,3518,3628,3610,2688,1319,448,253
169,3,1,Scott County,22781,200,902,1144,1278,788,425,1249,1218,1303,1316,1591,1598,1720,1776,1617,1535,1131,864,608,518,,1102,2422,1213,1249,2521,2907,3318,3393,2666,1472,518,200
195,3,1,Wise County,40918,457,1826,2251,2432,1469,1213,3299,2652,2597,2616,2819,2658,2879,2984,2738,2006,1485,1077,781,679,,2283,4683,2682,3299,5249,5435,5537,5722,3491,1858,679,457
720,3,1,Norton City,4068,54,188,236,225,148,102,318,322,248,248,259,264,305,302,268,189,135,101,78,78,,242,461,250,318,570,507,569,570,324,179,78,54
27,3,2,Buchanan County,23859,189,859,1156,1289,839,449,1400,1445,1402,1391,1685,1825,1970,1921,1714,1534,1164,862,421,344,,1048,2445,1288,1400,2847,3076,3795,3635,2698,1283,344,189
51,3,2,Dickenson County,15690,159,673,916,942,543,309,889,804,1014,961,1028,1083,1255,1226,1149,962,716,465,318,278,,832,1858,852,889,1818,1989,2338,2375,1678,783,278,159
167,3,2,Russell County,28445,272,1218,1537,1626,983,584,1683,1452,1665,1751,1913,1955,2404,2345,2062,1665,1277,949,613,491,,1490,3163,1567,1683,3117,3664,4359,4407,2942,1562,491,272
185,3,2,Tazewell County,44268,419,1746,2500,2521,1574,990,2596,2355,2768,2722,2850,3047,3289,3610,3362,2587,1895,1440,1094,903,,2165,5021,2564,2596,5123,5572,6336,6972,4482,2534,903,419
21,3,3,Bland County,6738,49,219,316,339,253,117,349,347,408,487,538,522,492,513,521,448,334,223,141,122,,268,655,370,349,755,1025,1014,1034,782,364,122,49
35,3,3,Carroll County,29851,267,1160,1619,1772,1122,573,1524,1376,1454,1790,2006,2151,2287,2314,2259,2002,1585,1154,783,653,,1427,3391,1695,1524,2830,3796,4438,4573,3587,1937,653,267
77,3,3,Grayson County,15183,111,541,722,840,555,287,760,673,685,849,971,1074,1177,1286,1220,1069,846,630,494,393,,652,1562,842,760,1358,1820,2251,2506,1915,1124,393,111
173,3,3,Smyth County,31718,300,1289,1826,1904,1099,723,1935,1487,1752,1905,2166,2293,2363,2399,2226,1899,1485,1118,844,705,,1589,3730,1822,1935,3239,4071,4656,4625,3384,1962,705,300
