Standards of Learning Assessment Spring Results,,,,,,,,,,,
"Percent of Students Passing Statewide, 1998-2002",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Change from 1998 to 1999,Change from 1999 to 2000,Change from 2000 to 2001,Change from 2001 to 2002,Change from 1998 to 2002,
Grade 3,1998,1999,2000,2001,2002,,,,,,
    English,55,61,61,65,72,6,0,4,7,17,
    Mathematics,63,68,71,77,80,5,3,6,3,17,
    History & Social Science,49,62,65,72,76,13,3,7,4,27,
    Science,63,68,73,74,78,5,5,1,4,15,
,,,,,,,,,,,
Grade 5,1998,1999,2000,2001,2002,,,,,,
English:RLR,68,69,68,73,78,1,-1,5,5,10,
    Writing,65,81,81,84,84,16,0,3,0,19,
    Math,47,51,63,67,71,4,12,4,4,24,
    History & Social Science ,33,46,51,63,72,13,5,12,9,39,
    Science,59,67,64,75,76,8,-3,11,1,17,
    Computer/Tech,72,81,85,82,86,9,4,-3,4,14,
,,,,,,,,,,,
Grade 8,1998,1999,2000,2001,2002,,,,,,
English:RLR,65,67,70,73,69,2,3,3,-4,4,
    Writing,67,70,76,75,76,3,6,-1,1,9,
    Math,53,60,61,68,71,7,1,7,3,18,
    History & Social Science ,35,40,50,56,78,5,10,6,22,43,
    Science,71,78,82,84,85,7,4,2,1,14,
    Computer/Tech,63,72,78,79,76,9,6,1,-3,13,
,,,,,,,,,,,
High School,1998,1999,2000,2001,2002,,,,,,
English:RLR,72,75,78,82,86,3,3,4,4,14,
    Writing,71,81,85,84,86,10,4,-1,2,15,
     Algebra I,40,56,65,74,78,16,9,9,4,38,
     Algebra II,31,51,58,74,77,20,7,16,3,46,
     Geometry,52,62,67,73,76,10,5,6,3,24,
     U. S. History,30,32,39,47,72,2,7,8,25,42,
     World History I,62,68,75,83,86,6,7,8,3,24,
     World History II ,41,47,60,65,79,6,13,5,14,38,
    World Geography,N/A,N/A,76,77,74,N/A,N/A,1,-3,N/A,
     Earth Science,58,65,70,73,70,7,5,3,-3,12,
     Biology,72,81,79,81,83,9,-2,2,2,11,
     Chemistry,54,64,64,74,78,10,0,10,4,24,
,,,,,,,,,,,
Spring pass rates do not include summer or fall results,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,     September 2000
