Location,TimeFrame,DataFormat,Data
Virginia,2005,Number,1863274
Virginia,2005,Percent,0.24621
Virginia,2006,Number,1884187
Virginia,2006,Percent,0.24653
Virginia,2007,Number,1849835
Virginia,2007,Percent,0.23986
Virginia,2008,Number,1863837
Virginia,2008,Percent,0.2399
Virginia,2009,Number,1847182
Virginia,2009,Percent,0.23434
Virginia,2010,Number,1853677
Virginia,2010,Percent,0.23168
Virginia,2011,Number,1853546
Virginia,2011,Percent,0.22893
Accomack,2005,Number,9152
Accomack,2005,Percent,0.23407
Accomack,2006,Number,9236
Accomack,2006,Percent,0.23407
Accomack,2007,Number,9115
Accomack,2007,Percent,0.23407
Accomack,2008,Number,9121
Accomack,2008,Percent,0.23407
Accomack,2009,Number,8493
Accomack,2009,Percent,0.22082
Accomack,2010,Number,6925
Accomack,2010,Percent,0.20881
Accomack,2011,Number,7036
Accomack,2011,Percent,0.21106
Albemarle,2005,Number,21104
Albemarle,2005,Percent,0.23346
Albemarle,2006,Number,21199
Albemarle,2006,Percent,0.23346
Albemarle,2007,Number,19822
Albemarle,2007,Percent,0.21177
Albemarle,2008,Number,19836
Albemarle,2008,Percent,0.21177
Albemarle,2009,Number,20366
Albemarle,2009,Percent,0.21459
Albemarle,2010,Number,21285
Albemarle,2010,Percent,0.21507
Albemarle,2011,Number,21443
Albemarle,2011,Percent,0.21325
Alexandria,2005,Number,24912
Alexandria,2005,Percent,0.18426
Alexandria,2006,Number,24386
Alexandria,2006,Percent,0.18426
Alexandria,2007,Number,26156
Alexandria,2007,Percent,0.19129
Alexandria,2008,Number,26388
Alexandria,2008,Percent,0.19129
Alexandria,2009,Number,27447
Alexandria,2009,Percent,0.18297
Alexandria,2010,Number,23970
Alexandria,2010,Percent,0.17126
Alexandria,2011,Number,25229
Alexandria,2011,Percent,0.20927
Alleghany,2005,Number,3828
Alleghany,2005,Percent,0.22257
Alleghany,2006,Number,3836
Alleghany,2006,Percent,0.22257
Alleghany,2007,Number,3819
Alleghany,2007,Percent,0.22257
Alleghany,2008,Number,3738
Alleghany,2008,Percent,0.22257
Alleghany,2009,Number,3541
Alleghany,2009,Percent,0.21802
Alleghany,2010,Number,3450
Alleghany,2010,Percent,0.21231
Alleghany,2011,Number,3385
Alleghany,2011,Percent,0.21726
Amelia,2005,Number,2945
Amelia,2005,Percent,0.24342
Amelia,2006,Number,3043
Amelia,2006,Percent,0.24342
Amelia,2007,Number,3107
Amelia,2007,Percent,0.24342
Amelia,2008,Number,3165
Amelia,2008,Percent,0.24342
Amelia,2009,Number,2925
Amelia,2009,Percent,0.22699
Amelia,2010,Number,2822
Amelia,2010,Percent,0.22238
Amelia,2011,Number,2782
Amelia,2011,Percent,0.20791
Amherst,2005,Number,7270
Amherst,2005,Percent,0.2279
Amherst,2006,Number,7297
Amherst,2006,Percent,0.2279
Amherst,2007,Number,7505
Amherst,2007,Percent,0.2279
Amherst,2008,Number,7371
Amherst,2008,Percent,0.2279
Amherst,2009,Number,6818
Amherst,2009,Percent,0.2099
Amherst,2010,Number,6940
Amherst,2010,Percent,0.21451
Amherst,2011,Number,6688
Amherst,2011,Percent,0.21933
Appomattox,2005,Number,3209
Appomattox,2005,Percent,0.23086
Appomattox,2006,Number,3255
Appomattox,2006,Percent,0.23086
Appomattox,2007,Number,3357
Appomattox,2007,Percent,0.23086
Appomattox,2008,Number,3328
Appomattox,2008,Percent,0.23086
Appomattox,2009,Number,3204
Appomattox,2009,Percent,0.22018
Appomattox,2010,Number,3325
Appomattox,2010,Percent,0.22207
Appomattox,2011,Number,3299
Appomattox,2011,Percent,0.1597
Arlington,2005,Number,33551
Arlington,2005,Percent,0.17153
Arlington,2006,Number,33338
Arlington,2006,Percent,0.17153
Arlington,2007,Number,35862
Arlington,2007,Percent,0.17827
Arlington,2008,Number,36871
Arlington,2008,Percent,0.17827
Arlington,2009,Number,35785
Arlington,2009,Percent,0.16454
Arlington,2010,Number,32626
Arlington,2010,Percent,0.15714
Arlington,2011,Number,34495
Arlington,2011,Percent,0.20873
Augusta,2005,Number,15724
Augusta,2005,Percent,0.22821
Augusta,2006,Number,15982
Augusta,2006,Percent,0.22821
Augusta,2007,Number,14956
Augusta,2007,Percent,0.21141
Augusta,2008,Number,15134
Augusta,2008,Percent,0.21141
Augusta,2009,Number,15905
Augusta,2009,Percent,0.22084
Augusta,2010,Number,15755
Augusta,2010,Percent,0.21363
Augusta,2011,Number,15352
Augusta,2011,Percent,0.16792
Bath,2005,Number,962
Bath,2005,Percent,0.19635
Bath,2006,Number,948
Bath,2006,Percent,0.19635
Bath,2007,Number,975
Bath,2007,Percent,0.19635
Bath,2008,Number,927
Bath,2008,Percent,0.19635
Bath,2009,Number,806
Bath,2009,Percent,0.17983
Bath,2010,Number,804
Bath,2010,Percent,0.16994
Bath,2011,Number,782
Bath,2011,Percent,0.21694
Bedford City,2005,Number,1390
