REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
7 - Hampton,23669, 07/01/2008,Queens Way Soul Cafe  LLC,39389,9 E Queens Way,Hampton,VA
5 - Southwest,24273, 07/01/2008,Mi Finca III Inc,34750,987 Park Ave SW,Norton,VA
5 - Southwest,24273-3615, 07/01/2008,Fishtales Inc,39759,Box 696 Hwy 58 E,Norton,VA
5 - Southwest,24230, 07/01/2008,Rainbo Drive In,13001,Hwy 58 A PO Box 1794,Coeburn,VA
5 - Southwest,24293, 07/01/2008,Monterrey Mexican Restaurant,72570,Hwy 23 Ridgeview Shopping Ctr  6,Wise,VA
5 - Southwest,24293-4056, 07/01/2008,Roma II Pizzeria & Restaurant,4267,313 Church St NE PO Box 4056,Wise,VA
5 - Southwest,24293, 07/01/2008,Pizza Hut,26835,Main St  PO Box 503,Wise,VA
5 - Southwest,24279, 07/01/2008,The Candlelight Cafe,47,Main Street  Rt 23B PO Box 921,Pound,VA
5 - Southwest,24277, 07/01/2008,El Centenario,34094,930 E Morgan Ave Ste 7,Pennington Gap,VA
5 - Southwest,24277-2638, 07/01/2008,Roosters Pub,76121,110 Harrell St,Pennington Gap,VA
5 - Southwest,24218, 07/01/2008,Ben Hur Cafe,40805,Alt Hwy 58,Ben Hur,VA
6 - Richmond/FBurg,23219, 07/14/2008,BlackFinn,45909,1001 Haxall Pt Ste 101,Richmond,VA
6 - Richmond/FBurg,23872-2621, 07/14/2008,Wallace & Sons Inc Super Market,60470,21101 Boydton Plank Rd,McKenney,VA
6 - Richmond/FBurg,23224-3643, 07/16/2008,Market Place,60767,2517 Hull St,Richmond,VA
6 - Richmond/FBurg,23224-3571, 07/16/2008,Becks Place LLC,50824,3053 Hull St,Richmond,VA
6 - Richmond/FBurg,23224-3571, 07/16/2008,Becks Place LLC,50824,3053 Hull St,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,C & C Quickstop,6464,3075 Hull St,Richmond,VA
6 - Richmond/FBurg,23224-3452, 07/16/2008,804 Sports Bar & Grill,53332,3405 Hull St,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Fas Mart # 86,26056,5200 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Fas Mart # 86,26056,5200 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Mi Pais Mart LLC,49292,5347 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Mi Pais Mart LLC,49292,5347 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224-2840, 07/16/2008,Food Lion 1156,9816,5620 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224-2424, 07/16/2008,Mi Casita Restaurant,46765,5250 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Happy Convenience Store,18954,5761 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Colonial Downs Food & Beverage,32697,6502 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224-2547, 07/16/2008,La Milpa,11380,6925 Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23234-3329, 07/16/2008,7 Eleven Store 2515 16222,11386,5549 Belmont Rd,Richmond,VA
6 - Richmond/FBurg,23234-3329, 07/16/2008,7 Eleven Store 2515 16222,11386,5549 Belmont Rd,Richmond,VA
6 - Richmond/FBurg,23234-5226, 07/16/2008,East Coast #4048,13290,6116 Iron Bridge Rd,Richmond,VA
6 - Richmond/FBurg,23234-5205, 07/16/2008,Iron Bridge Texaco,31831,6437 Iron Bridge Rd,Richmond,VA
6 - Richmond/FBurg,23234, 07/16/2008,Battambong International Market,52199,6517 Iron Bridge Pl,Richmond,VA
6 - Richmond/FBurg,23234, 07/16/2008,Pinos Pizza & Italian Restaurant,39610,4112 Meadowdale Shopping Ctr,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Casa Blanca Grocery Inc,33895,2603 Turner Rd,Richmond,VA
6 - Richmond/FBurg,23224-4335, 07/16/2008,The Market Place # 21,38306,6811 Walmsley Blvd,Richmond,VA
6 - Richmond/FBurg,23234-2349, 07/16/2008,Tierra Salvadorena Restaurant,52131,4725 Walmsley Blvd,Richmond,VA
6 - Richmond/FBurg,23234-2348, 07/16/2008,CVS Pharmacy  #1971,5891,4715 Walmsley Blvd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Candy Bar II,47518,3206 Broad Rock Rd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Pupuseria San Miguel,50156,3025 Broad Rock Blvd,Richmond,VA
6 - Richmond/FBurg,23224-4810, 07/16/2008,United Grocery,16743,2200 Broad Rock Blvd,Richmond,VA
6 - Richmond/FBurg,23224-4802, 07/16/2008,James Food Store,73098,1808 Broad Rock Blvd,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Club Illuzion Sports Bar & Grill,38377,1734 Broad Rock Rd,Richmond,VA
6 - Richmond/FBurg,23234-2415, 07/16/2008,Little Grocery Store,72489,3823 Walmsley Blvd,Richmond,VA
6 - Richmond/FBurg,23234, 07/16/2008,El Toro,28281,3900 A Old Hopkins Rd,Richmond,VA
6 - Richmond/FBurg,23234-5116, 07/16/2008,7 Eleven Store 2515 11064,2475,6131 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-5118, 07/16/2008,Fast & Friendly,60773,6249 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-5118, 07/16/2008,Fast & Friendly,60773,6249 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-2258, 07/16/2008,M & M Texaco,56093,5400 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-2258, 07/16/2008,M & M Texaco,56093,5400 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-2717, 07/16/2008,Seiberts Jeff Davis Texaco,40428,4307 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-2635, 07/16/2008,RS Express,34225,4007 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-2635, 07/16/2008,RS Express,34225,4007 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234, 07/16/2008,J D Supermarket,11716,3600 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234, 07/16/2008,Olocuilta Restaurant & Night Club,51108,3001 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23234-1121, 07/16/2008,Come and Go Food Market,10335,2413 A Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23224-7906, 07/16/2008,Gene's Supermarket,49092,2500 Afton Ave,Richmond,VA
6 - Richmond/FBurg,23224-7906, 07/16/2008,Gene's Supermarket,49092,2500 Afton Ave,Richmond,VA
6 - Richmond/FBurg,23224-7201, 07/16/2008,7 Eleven Store 2515 26834,41020,1301 Jefferson Davis Hwy,Richmond,VA
6 - Richmond/FBurg,23224, 07/16/2008,Bruce Super Market,28973,1641 Commerce Rd,Richmond,VA
6 - Richmond/FBurg,23234-2237, 07/16/2008,Bells Road Exxon,55742,4435 Commerce Rd,Richmond,VA
6 - Richmond/FBurg,23234-2238, 07/16/2008,Fast Break Shell,49309,4400 Commerce Rd,Richmond,VA
6 - Richmond/FBurg,23224-1714, 07/16/2008,The Candy Bar,36395,3904A Hull Street Rd,Richmond,VA
6 - Richmond/FBurg,23224-1205, 07/16/2008,Belt Blvd Chevron,9259,237 E Belt Blvd,Richmond,VA
6 - Richmond/FBurg,23224-3752, 07/16/2008,301 Express Convenience Store,39672,2012 Maury St,Richmond,VA
6 - Richmond/FBurg,23224-4048, 07/16/2008,Maury Food Market,25676,914 Maury St,Richmond,VA
6 - Richmond/FBurg,23224-2307, 07/16/2008,Legend Brewing Co,59497,321 W 7th St # 323,Richmond,VA
6 - Richmond/FBurg,23224-3724, 07/16/2008,Christopher Of Manchester Inc,35915,1900 Hull St,Richmond,VA
6 - Richmond/FBurg,23224-7420, 07/16/2008,King's Super Market,15896,2102 Keswick Ave,Richmond,VA
6 - Richmond/FBurg,22401-3737, 07/16/2008,Happy Endings,17038,1315 Princess Anne St,Fredericksburg,VA
