-82.88266,36.52926,Peak:Stanley Knobs,Peak:Stanley Knobs,
-82.88155,36.66426,Peak:Bunker Hill,Peak:Bunker Hill,
-82.87961,36.74843,Peak:Butt of Powell Mountain,Peak:Butt of Powell Mountain,
-82.87738,36.90787,Peak:The Doubles,Peak:The Doubles,
-82.87377,36.79898,Peak:Stocker Knob,Peak:Stocker Knob,
-82.85655,36.55315,Peak:Caney Knobs,Peak:Caney Knobs,
-82.85433,36.49704,Peak:Tucker Knob,Peak:Tucker Knob,
-82.84211,36.98787,Peak:Black Mountain,Peak:Black Mountain,
-82.83544,36.84815,Peak:High Butte,Peak:High Butte,
-82.81405,37.03232,Peak:Halls Butt,Peak:Halls Butt,
-82.81210,37.07426,Tower:WXKQ-FM (Whitesburg),Tower:WXKQ-FM (Whitesburg),- 
-82.80808,37.07715,Tower:Bright Tower,Tower:Bright Tower,
-82.80266,36.83287,Peak:Elk Knob,Peak:Elk Knob,
-82.80155,36.66815,Peak:Purchase Knob,Peak:Purchase Knob,
-82.79877,36.63954,Peak:Sols Knob,Peak:Sols Knob,
-82.79683,36.76065,Peak:Cliff Mountain,Peak:Cliff Mountain,
-82.79155,36.70843,Tower:WDUF-AM (Duffield),Tower:WDUF-AM (Duffield),- 
-82.79099,36.77593,Peak:Bowling Knob,Peak:Bowling Knob,
-82.76877,37.13454,Tower:WTCW-AM (Whitesburg),Tower:WTCW-AM (Whitesburg),- 
-82.75983,37.10103,Peak:High Rock,Peak:High Rock,
-82.74822,36.52093,Tower:WMCH-AM (Church Hill),Tower:WMCH-AM (Church Hill),- 
-82.74572,36.66676,Peak:Bald Knob,Peak:Bald Knob,
-82.73849,36.89704,Tower:Stonega Lookout Tower,Tower:Stonega Lookout Tower,
-82.73821,37.11066,Tower:WIFX-FM (Jenkins),Tower:WIFX-FM (Jenkins),- 
-82.73738,37.11066,Tower:WMMT-FM (Whitesburg),Tower:WMMT-FM (Whitesburg),- 
-82.73710,36.84065,Tower:WAXM-FM (Big Stone Gap),Tower:WAXM-FM (Big Stone Gap),- 
-82.73710,36.84065,Tower:WLSD-AM (Big Stone Gap),Tower:WLSD-AM (Big Stone Gap),- 
-82.72988,36.84288,Peak:Morris Butt,Peak:Morris Butt,
-82.71155,37.19844,Tower:WNKY-AM (Neon),Tower:WNKY-AM (Neon),- 
-82.70894,37.24214,Peak:Boone Mountain,Peak:Boone Mountain,
-82.70349,36.90871,Peak:Little Stone Mountain,Peak:Little Stone Mountain,
-82.70042,37.24247,Peak:Gamblers Rock,Peak:Gamblers Rock,
-82.69868,37.24203,Peak:Gamblers Rock,Peak:Gamblers Rock,
-82.69182,36.48677,Peak:Canebrake Mountain,Peak:Canebrake Mountain,
-82.69023,37.20634,Peak:Bandmill Hill,Peak:Bandmill Hill,
-82.68923,37.24367,Peak:Boone Mountain,Peak:Boone Mountain,
-82.68683,36.83260,Peak:Little Mountain,Peak:Little Mountain,
-82.68155,36.85204,Peak:Huff Rock,Peak:Huff Rock,
-82.68071,37.26233,Peak:Potatoe Knob,Peak:Potatoe Knob,
-82.64238,37.05399,Tower:Buck Knob Lookout,Tower:Buck Knob Lookout,
-82.64182,37.05288,Peak:Buck Knob,Peak:Buck Knob,
-82.64071,36.55899,Peak:Rocky Hill,Peak:Rocky Hill,
-82.64043,36.50954,Peak:Holston River Mountain,Peak:Holston River Mountain,
-82.63294,36.88065,Peak:Little Mountain,Peak:Little Mountain,
-82.63238,37.15205,Tower:WDXC-FM (Pound),Tower:WDXC-FM (Pound),- 
-82.62960,36.89260,Peak:High Knob,Peak:High Knob,
-82.62932,36.89288,Tower:High Knob Lookout Tower,Tower:High Knob Lookout Tower,
-82.62849,36.50316,Peak:Cherry Knobs,Peak:Cherry Knobs,
-82.62377,36.51538,Peak:High Point,Peak:High Point,
-82.62377,36.51538,Tower:Garden Mountain Lookout Tower,Tower:Garden Mountain Lookout Tower,
-82.62266,36.89788,Tower:WSBN-TV (Norton),Tower:WSBN-TV (Norton),- 
-82.61627,36.92343,Peak:Pickem Mountain,Peak:Pickem Mountain,
-82.61543,36.88121,Peak:Camp Rock,Peak:Camp Rock,
-82.60710,36.89288,Peak:Eagle Knob,Peak:Eagle Knob,
-82.59543,36.81232,Tower:Buckner Ridge Lookout Tower,Tower:Buckner Ridge Lookout Tower,
-82.59321,36.85843,Peak:Chimney Rock,Peak:Chimney Rock,
-82.58793,36.96621,Tower:WNVA-FM (Norton),Tower:WNVA-FM (Norton),- 
-82.58710,36.52677,Tower:WTFM-FM (Kingsport),Tower:WTFM-FM (Kingsport),- 
-82.58654,36.52704,Tower:WCSK-FM (Kingsport),Tower:WCSK-FM (Kingsport),- 
-82.58654,36.96621,Tower:WNVA-AM (Norton),Tower:WNVA-AM (Norton),- 
-82.58210,36.63316,Tower:WGAT-AM (Gate City),Tower:WGAT-AM (Gate City),- 
-82.57738,36.85593,Peak:Big Flat Top,Peak:Big Flat Top,
-82.56488,37.07066,Peak:Bold Camp Mountain,Peak:Bold Camp Mountain,
-82.56432,37.19344,Peak:The Doubles,Peak:The Doubles,
-82.56016,36.88010,Peak:Brushy Knob,Peak:Brushy Knob,
-82.55599,36.56649,Tower:WKIN-AM (Kingsport),Tower:WKIN-AM (Kingsport),- 
-82.55015,36.87843,Peak:Black Hill,Peak:Black Hill,
-82.54349,36.89232,Peak:Robinson Knob,Peak:Robinson Knob,
-82.54321,36.50732,Peak:Moore Hill,Peak:Moore Hill,
-82.53821,36.49232,Peak:Pine Hill,Peak:Pine Hill,
-82.53210,36.59316,Peak:Walker Mountain,Peak:Walker Mountain,
-82.53126,36.60593,Peak:Frisby Knob,Peak:Frisby Knob,
-82.52626,37.28538,Tower:Flatwood Lookout Tower (historical),Tower:Flatwood Lookout Tower (historical),
-82.52460,37.28511,Tower:WKPI-TV (Pikeville),Tower:WKPI-TV (Pikeville),- 
-82.52237,36.54371,Tower:WKPT-AM (Kingsport),Tower:WKPT-AM (Kingsport),- 
-82.52043,36.88649,Peak:Moore Knob,Peak:Moore Knob,
-82.50710,36.94344,Tower:Wise Mountain Lookout Tower,Tower:Wise Mountain Lookout Tower,
-82.50684,37.28477,Peak:Sheep Cliff,Peak:Sheep Cliff,
-82.50599,36.66232,Peak:Big Knob,Peak:Big Knob,
-82.50209,36.60066,Peak:Bald Knob,Peak:Bald Knob,
-82.49710,36.94566,Tower:WZQK-FM (Coeburn),Tower:WZQK-FM (Coeburn),- 
-82.49626,36.95177,Peak:Guest Mountain,Peak:Guest Mountain,
-82.48265,36.55344,Tower:WKIN-AM (Kingsport),Tower:WKIN-AM (Kingsport),- 
-82.46654,36.55371,Tower:WZXY-FM (Kingsport),Tower:WZXY-FM (Kingsport),- 
-82.46598,37.37788,Peak:Ripley Knob,Peak:Ripley Knob,
-82.45889,37.14861,Museum:Ralph Stanley Museum and Traditional Mountain Music Center,Museum:Ralph Stanley Museum and Traditional Mountain Music Center,
-82.45821,37.13538,Tower:Keel Lookout Tower,Tower:Keel Lookout Tower,
-82.42403,36.52232,Tower:WGOC-AM (Kingsport),Tower:WGOC-AM (Kingsport),- 
-82.41598,36.86677,Peak:Bald Rock,Peak:Bald Rock,
-82.41070,36.59871,Peak:Browder Mountain,Peak:Browder Mountain,
-82.38931,37.14511,Tower:WDIC-AM (Clinchco),Tower:WDIC-AM (Clinchco),- 
-82.38709,37.14538,Tower:WOIC Radio Tower (Tazewell),Tower:WOIC Radio Tower (Tazewell),
-82.38376,37.26011,Peak:Skeet Rock Knob,Peak:Skeet Rock Knob,
-82.38348,37.26039,Peak:Skeet Rock Knob,Peak:Skeet Rock Knob,
-82.38181,36.64149,Peak:Miller Knob,Peak:Miller Knob,
-82.37876,36.94344,Tower:Bull Hill Lookout Tower,Tower:Bull Hill Lookout Tower,
-82.36931,37.06788,Peak:Pilot Knob,Peak:Pilot Knob,
-82.36515,37.27594,Peak:Blue Head Rock,Peak:Blue Head Rock,
-82.36423,37.27306,Peak:Blue Head Knob,Peak:Blue Head Knob,
-82.36015,37.21205,Tower:WDIC-FM (Clinchco),Tower:WDIC-FM (Clinchco),- 
-82.35737,36.91955,Peak:Bull Hill,Peak:Bull Hill,
-82.35459,37.28150,Peak:Pinnacle Rock,Peak:Pinnacle Rock,
-82.34820,37.27122,Peak:Skegg Knob,Peak:Skegg Knob,
-82.34820,37.27205,Peak:Skegg Knob,Peak:Skegg Knob,
-82.33847,36.56899,Peak:Zachs Knob,Peak:Zachs Knob,
-82.33792,37.13566,Tower:Nealy Ridge Lookout Tower,Tower:Nealy Ridge Lookout Tower,
-82.33181,36.53038,Peak:Graveyard Hill,Peak:Graveyard Hill,
-82.30570,36.87094,Tower:WSPC-AM (Saint Paul),Tower:WSPC-AM (Saint Paul),- 
-82.30181,37.27816,Peak:The Chimney,Peak:The Chimney,
-82.29903,36.53233,Peak:Ayers Knob,Peak:Ayers Knob,
-82.29570,37.27928,Peak:The Towers,Peak:The Towers,
-82.28496,37.33653,Peak:Greasy Spear,Peak:Greasy Spear,
-82.28486,37.34622,Peak:Beaver Knob,Peak:Beaver Knob,
-82.28153,36.72566,Peak:Bridge Hill,Peak:Bridge Hill,
-82.27625,37.36872,Peak:Card Mountain,Peak:Card Mountain,
-82.27375,36.61121,Tower:WBCV-AM (Bristol),Tower:WBCV-AM (Bristol),- 
-82.27347,36.61705,Peak:Walker Mountain,Peak:Walker Mountain,
-82.26875,37.23789,Tower:Bartlick Lookout Tower,Tower:Bartlick Lookout Tower,
-82.26486,36.49260,Peak:Hamilton Hill,Peak:Hamilton Hill,
-82.26375,37.45344,Peak:Hunt Knob,Peak:Hunt Knob,
-82.26320,36.81288,Peak:Duff Knob,Peak:Duff Knob,
-82.26097,36.65260,Peak:Dickey Mountain,Peak:Dickey Mountain,
-82.24514,36.99511,Tower:Hazel Mountain Lookout Tower,Tower:Hazel Mountain Lookout Tower,
-82.24319,36.56149,Peak:Beaver Creek Knobs,Peak:Beaver Creek Knobs,
-82.22764,37.50122,Peak:Dicks Knob,Peak:Dicks Knob,
-82.22738,37.50109,Tower:Dicks Knowl,Tower:Dicks Knowl,
-82.20986,36.92233,Peak:Tunnel Hill,Peak:Tunnel Hill,
-82.16458,36.63094,Tower:WZAP-AM (Bristol),Tower:WZAP-AM (Bristol),- 
-82.16319,37.42150,Peak:Hylton Knob,Peak:Hylton Knob,
-82.16152,36.59594,Tower:WOPI,Tower:WOPI,
-82.16152,36.59594,Tower:WOPI-AM (Bristol),Tower:WOPI-AM (Bristol),- 
-82.15985,36.60844,Tower:WFHG-AM (Bristol),Tower:WFHG-AM (Bristol),- 
-82.15819,36.56622,Tower:WBCV-AM (Bristol),Tower:WBCV-AM (Bristol),- 
-82.15624,36.61066,Tower:WFHG,Tower:WFHG,
-82.11846,37.47539,Peak:Sulphur Knob,Peak:Sulphur Knob,
-82.11763,37.30233,Tower:WMJD-FM (Grundy),Tower:WMJD-FM (Grundy),- 
-82.11763,37.30233,Tower:WNRG-AM (Grundy),Tower:WNRG-AM (Grundy),- 
-82.11120,37.45406,Peak:High Knob,Peak:High Knob,
-82.10430,36.92177,Tower:WLRV-AM (Lebanon),Tower:WLRV-AM (Lebanon),- 
-82.09069,36.83455,Peak:The Butt,Peak:The Butt,
