Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”,Name: “Table 1 of 1 on page 20 of 27”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,
Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by,Appendix A – Virginia Violent Index Crime Rate and Ranking by
"Locality, 1999 and 2008","Locality, 1999 and 2008",Source:,DCJS,,,
"Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide",,
(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).
Cities,,,,,,
,,,1999,2008,1999,2008
FIPS,Locality,Locality,Rate,Rate,Rank,Rank
510,Alexandria C,Alexandria C,308.8,255.9,34,32
515,Bedford C,Bedford C,354.8,204.5,28,44
520,Bristol C,,390.8,418.6,22,18
530,Buena Vista C,Buena Vista C,317.5,61.4,32,125
540,Charlottesville C,Charlottesville C,926.6,547.5,5,11
550,Chesapeake C,Chesapeake C,281.1,460.2,38,16
570,Colonial Heights C,Colonial Heights C,238.1,254.3,45,34
580,Covington C,Covington C,142.9,219.6,86,41
580,Clifton Forge C,Clifton Forge C,713.4,---,9,---
590,Danville C,Danville C,468.4,580.3,16,10
595,Emporia C,Emporia C,"1,381.8",772.5,1,6
600,Fairfax C,,201.9,133.4,62,84
610,Falls Church C,Falls Church C,554.5,149.1,13,75
620,Franklin C,Franklin C,301.2,542.7,35,12
630,Fredericksburg C,Fredericksburg C,388.6,616.6,23,9
640,Galax C,,492.5,477.2,15,15
650,Hampton C,Hampton C,336.8,336.3,30,24
660,Harrisonburg C,Harrisonburg C,376.3,309.0,24,26
670,Hopewell C,Hopewell C,233.5,"1,199.3",50,2
678,Lexington C,Lexington C,242.9,83.2,43,116
680,Lynchburg C,Lynchburg C,450.2,489.2,17,14
683,Manassas C,Manassas C,223.5,408.6,56,20
685,Manassas Park C,Manassas Park C,128.7,163.7,94,65
690,Martinsville C,Martinsville C,503.2,409.9,14,19
700,Newport News C,Newport News C,799.7,684.6,7,8
710,Norfolk C,Norfolk C,376.1,835.8,25,3
720,Norton C,,763.2,264.4,8,30
730,Petersburg C,Petersburg C,"1,044.2","2,076.2",4,1
735,Poquoson C,Poquoson C,112.1,127.2,100,89
740,Portsmouth C,Portsmouth C,881.7,735.7,6,7
750,Radford C,Radford C,318.5,539.0,31,13
760,Richmond C,Richmond C,"1,146.5",825.7,3,4
770,Roanoke C,Roanoke C,667.7,812.2,10,5
775,Salem C,,100.8,145.5,105,78
790,Staunton C,Staunton C,163.2,246.8,73,36
800,Suffolk C,,573.0,378.5,12,21
810,Virginia Beach C,Virginia Beach C,250.1,242.2,41,37
820,Waynesboro C,Waynesboro C,314.4,456.0,33,17
830,Williamsburg C,Williamsburg C,295.1,194.7,37,50
840,Winchester C,Winchester C,437.8,331.9,18,25
,,,19 of 26,,,
