Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,,,,
"Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,",
1999 and 2008,1999 and 2008,Source:,Source:,DCJS,DCJS,,,,,,
"Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide",,,,
(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).,,
Counties,Counties,,,,,,,,,,
,,1999,2008,1999,2008,,,1999,2008,1999,2008
FIPS,LOCALITY,Rate,Rate,Rank,Rank,FIPS,LOCALITY,Rate,Rate,Rank,Rank
001,Accomack Co,556.8,387.4,34,73,099,King George Co,501.8,616.1,43,36
003,Albemarle Co,338.6,316.3,65,90,101,King William Co,187.7,228.2,100,111
005,Alleghany Co,195.5,719.3,95,25,103,Lancaster Co,255.4,56.3,79,132
007,Amelia Co,533.5,97.2,36,129,105,Lee Co,47.8,52.9,129,133
009,Amherst Co,145.5,185.0,115,119,107,Loudoun Co,149.1,301.1,114,95
011,Appomattox Co,42.8,292.9,132,96,109,Louisa Co,313.6,405.6,69,68
013,Arlington Co,450.1,207.3,48,115,111,Lunenburg Co,67.2,219.7,124,114
015,Augusta Co,95.5,170.7,120,120,113,Madison Co,155.3,269.2,113,103
017,Bath Co,68.2,301.9,123,94,115,Mathews Co,168.0,417.9,105,66
019,Bedford Co,176.7,158.4,102,122,117,Mecklenburg Co,123.7,482.8,117,55
021,Bland Co,919.8,374.6,13,75,119,Middlesex Co,57.1,232.7,128,110
023,Botetourt Co,361.9,735.6,59,24,121,Montgomery Co,354.8,280.9,62,98
025,Brunswick Co,158.4,535.6,110,49,125,Nelson Co,169.0,281.3,104,97
027,Buchanan Co,516.0,435.6,38,63,127,New Kent Co,389.9,459.8,55,57
029,Buckingham Co,268.2,206.3,73,116,131,Northampton Co,476.4,435.6,46,64
031,Campbell Co,178.6,249.4,101,107,133,Northumberland Co,267.6,398.6,74,69
033,Caroline Co,162.9,454.4,107,59,135,Nottoway Co,205.8,277.1,93,99
035,Carroll Co,425.8,266.8,50,105,137,Orange Co,155.5,272.0,112,102
036,Charles City Co,47.0,323.9,130,86,139,Page Co,132.9,398.4,116,70
037,Charlotte Co,373.5,530.6,58,50,141,Patrick Co,211.1,58.1,91,131
041,Chesterfield Co,501.3,586.6,44,41,143,Pittsylvania Co,214.4,312.1,89,92
043,Clarke Co,265.7,339.8,75,81,145,Powhatan Co,212.2,338.0,90,82
045,Craig Co,874.4,303.3,15,93,147,Prince Edward Co,157.1,227.4,111,112
047,Culpeper Co,729.9,416.8,24,67,149,Prince George Co,208.4,273.0,92,101
049,Cumberland Co,233.8,323.1,83,88,153,Prince William Co,506.4,618.7,42,34
051,Dickenson Co,34.1,563.4,133,47,155,Pulaski Co,250.5,548.1,81,48
053,Dinwiddie Co,194.3,323.4,98,87,157,Rappahannock Co,396.8,164.0,53,121
057,Essex Co,111.9,455.1,118,58,159,Richmond Co,165.7,393.3,106,72
059,Fairfax Co,194.3,111.9,99,126,161,Roanoke Co,334.9,522.9,66,52
061,Fauquier Co,265.7,396.7,76,71,163,Rockbridge Co,799.4,619.4,20,33
063,Floyd Co,25.5,119.7,134,125,165,Rockingham Co,255.4,265.3,80,106
065,Fluvanna Co,88.4,193.6,122,118,167,Russell Co,23.7,610.4,135,38
067,Franklin Co,225.2,194.0,87,117,169,Scott Co,89.0,678.6,121,30
069,Frederick Co,330.6,377.7,67,74,171,Shenandoah Co,406.5,586.2,52,42
071,Giles Co,295.0,361.2,70,79,173,Smyth Co,288.6,247.3,72,108
073,Gloucester Co,393.6,331.9,54,83,175,Southampton Co,511.7,104.1,40,127
075,Goochland Co,197.3,314.6,94,91,177,Spotsylvania Co,195.0,574.8,96,45
077,Grayson Co,231.0,331.1,85,84,179,Stafford Co,623.5,616.9,30,35
079,Greene Co,530.2,277.0,37,100,181,Surry Co,160.4,142.7,109,123
081,Greensville Co,194.6,756.6,97,22,183,Sussex Co,486.3,"1,286.6",45,8
083,Halifax Co,224.1,241.2,88,109,185,Tazewell Co,360.9,700.0,60,27
085,Hanover Co,469.3,611.7,47,37,187,Warren Co,174.8,757.0,103,21
087,Henrico Co,506.6,372.6,41,77,191,Washington Co,58.4,575.8,127,44
089,Henry Co,231.6,317.7,84,89,193,Westmoreland Co,654.6,130.5,26,124
091,Highland Co,45.3,0.0,131,134,195,Wise Co,62.3,372.7,126,76
093,Isle of Wight Co,262.7,453.1,78,60,197,Wythe Co,605.7,512.3,31,53
095,James City Co,65.0,474.9,125,56,199,York Co,650.4,504.4,27,54
097,King & Queen Co,227.7,63.8,86,130,,,,,,
,,,,,,22 of 26,,,,,
