Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,
"Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,"
1999 and 2008,Source:,DCJS,,,,
"Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide",,
(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).
Cities,,,,,,
,,,1999,2008,1999,2008
,FIPS,LOCALITY,Rate,Rate,Rank,Rank
,510,Alexandria C,418.6,329.4,51,85
,515,Bedford C,356.2,958.6,61,12
,520,Bristol C,"1,050.3",691.6,8,29
,530,Buena Vista C,514.9,346.4,39,80
,540,Charlottesville C,553.3,636.0,35,32
,550,Chesapeake C,774.5,701.0,21,26
,560,Clifton Forge C,882.4,---,14,---
,570,Colonial Heights C,751.6,"1,598.8",23,2
,580,Covington C,851.6,267.8,17,104
,590,Danville C,"1,074.0",794.9,7,19
,595,Emporia C,"1,664.0","2,312.4",1,1
,600,Fairfax C,351.5,222.2,63,113
,610,Falls Church C,246.0,426.4,82,65
,620,Franklin C,758.2,846.5,22,16
,630,Fredericksburg C,"1,185.9","1,388.2",5,6
,640,Galax C,627.0,903.2,29,13
,650,Hampton C,801.0,821.0,19,18
,660,Harrisonburg C,597.6,691.7,32,28
,670,Hopewell C,995.7,834.4,9,17
,678,Lexington C,446.3,103.3,49,128
,680,Lynchburg C,958.0,"1,052.9",12,10
,683,Manassas C,162.7,363.6,108,78
,685,Manassas Park C,342.5,762.2,64,20
,690,Martinsville C,314.7,443.8,68,61
,700,Newport News C,"1,150.6","1,434.4",6,4
,710,Norfolk C,803.4,435.7,18,62
,720,Norton C,857.9,569.7,16,46
,730,Petersburg C,107.2,"1,423.0",119,5
,735,Poquoson C,386.9,525.3,56,51
,740,Portsmouth C,968.6,746.4,11,23
,750,Radford C,"1,363.8","1,351.1",3,7
,760,Richmond C,"1,630.0","1,086.1",2,9
,770,Roanoke C,979.9,"1,435.1",10,3
,775,Salem C,263.9,660.9,77,31
,790,Staunton C,386.8,985.3,57,11
,800,Suffolk C,290.4,577.4,71,43
,810,Virginia Beach C,595.8,586.8,33,40
,820,Waynesboro C,"1,227.3",891.5,4,14
,830,Williamsburg C,715.2,600.6,25,39
,840,Winchester C,634.9,887.8,28,15
,,,23 of 26,,,
