Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”,Name: “Table 1 of 1 on page 22 of 27”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,
Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by,Appendix B – Virginia Property Index Crime Rate and Ranking by
"Locality, 1999 and 2008","Locality, 1999 and 2008",Source:,DCJS,,,
"Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide","Rank 1=highest crime rate statewide, Rank 134=lowest crime rate statewide",,
(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,(Note: 1999 rank includes city of Clifton Forge; rank 135 will be lowest 1999 ranking.,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).,Clifton Forge reverted to town status in 2001).
Cities,,,,,,
,,,1999,2008,1999,2008
FIPS,Locality,Locality,Rate,Rate,Rank,Rank
510,Alexandria C,Alexandria C,"4,194.8","2,450.2",16,42
515,Bedford C,Bedford C,"3,629.0","3,555.7",25,23
520,Bristol C,,"2,557.5","3,922.5",41,17
530,Buena Vista C,Buena Vista C,650.8,798.2,130,123
540,Charlottesville C,Charlottesville C,"4,941.8","4,917.0",10,11
550,Chesapeake C,Chesapeake C,"2,072.2","3,080.5",55,28
570,Colonial Heights C,Colonial Heights C,"6,398.8","4,499.0",3,13
580,Covington C,Covington C,"3,349.2","2,871.6",27,34
580,Clifton Forge C,Clifton Forge C,"1,640.9",---,70,---
590,Danville C,Danville C,"4,892.1","5,982.0",11,5
595,Emporia C,Emporia C,"6,272.7","6,018.7",4,4
600,Fairfax C,,"4,061.0","2,680.6",19,35
610,Falls Church C,Falls Church C,"4,198.0","3,272.2",15,24
620,Franklin C,Franklin C,"4,265.1","6,042.0",14,3
630,Fredericksburg C,Fredericksburg C,"4,414.5","4,937.0",13,10
640,Galax C,,"3,895.5","3,966.6",22,16
650,Hampton C,Hampton C,"3,823.4","3,626.8",23,21
660,Harrisonburg C,Harrisonburg C,"3,267.7","2,677.9",28,36
670,Hopewell C,Hopewell C,"1,083.7","4,260.0",104,14
678,Lexington C,Lexington C,"1,314.3","1,289.7",90,98
680,Lynchburg C,Lynchburg C,"3,755.3","3,872.3",24,19
683,Manassas C,Manassas C,"3,083.1","2,964.8",32,31
685,Manassas Park C,Manassas Park C,"2,782.2","1,359.4",35,92
690,Martinsville C,Martinsville C,"5,348.4","3,765.7",9,20
700,Newport News C,Newport News C,"4,707.9","4,117.6",12,15
710,Norfolk C,Norfolk C,"3,115.1","5,326.9",31,8
720,Norton C,,"5,736.8","6,777.2",6,2
730,Petersburg C,Petersburg C,"7,265.5","8,773.7",1,1
735,Poquoson C,Poquoson C,655.2,"1,755.6",129,68
740,Portsmouth C,Portsmouth C,"6,001.0","5,789.0",5,6
750,Radford C,Radford C,"2,509.6","3,888.6",42,18
760,Richmond C,Richmond C,"7,244.3","4,586.5",2,12
770,Roanoke C,Roanoke C,"3,914.3","5,504.4",21,7
775,Salem C,,"2,479.8","2,994.1",45,29
790,Staunton C,Staunton C,"3,945.6","2,636.7",20,37
800,Suffolk C,,"4,088.9","2,607.8",18,38
810,Virginia Beach C,Virginia Beach C,"3,584.8","2,912.0",26,32
820,Waynesboro C,Waynesboro C,"3,257.7","2,973.7",29,30
830,Williamsburg C,Williamsburg C,"5,368.9","3,624.4",8,22
840,Winchester C,Winchester C,"5,407.7","5,017.4",7,9
,,,21 of 26,,,
