Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”,Name: “Table 1 of 1 on page 23 of 27”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,
,,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2001–2010,,
"Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,","Virginia Index Crime Rates and Drug Arrest Rate by Locality,",
2001 And 2010,2001 And 2010,,,,,,,
Source: DCJS,,,,,,,,
"Rates are the number of crimes reported per 100,000 population.","Rates are the number of crimes reported per 100,000 population.","Rates are the number of crimes reported per 100,000 population.","Rates are the number of crimes reported per 100,000 population.",,,,,
,,,,,,,,
Counties,,Violent Crime Rate,Violent Crime Rate,Property Crime Rate,Property Crime Rate,Drug Arrest Rate,Drug Arrest Rate,
,,2001,2010,2001,2010,2001,2010,
FIPS,Locality,Rate,Rate,Rate,Rate,Rate,Rate,
001,Accomack Co,245.4,186.9,"1,974.1","1,794.1",313.6,259.9,
003,Albemarle Co,166.1,134.4,"2,242.9","2,118.8",206.3,366.8,
005,Alleghany Co,175.3,92.3,"1,420.9","1,624.6",395.3,749.9,
007,Amelia Co,96.2,165.5,"1,005.3","1,221.4",368.2,250.6,
009,Amherst Co,163.5,92.7,"1,365.0","1,462.0",235.5,811.4,
011,Appomattox Co,124.4,140.3,848.7,634.5,259.3,181.3,
013,Arlington Co,206.6,158.5,"3,201.4","2,127.9",271.7,215.9,
015,Augusta Co,128.6,103.1,"1,187.9","1,004.7",125.8,175.3,
017,Bath Co,0.0,21.1,659.1,993.4,44.5,411.6,
019,Bedford Co,103.1,358.2,"1,388.8","1,063.0",234.9,119.5,
021,Bland Co,43.5,73.3,"1,232.8",542.2,"5,265.7",177.4,
023,Botetourt Co,131.2,78.4,"1,370.8","1,049.8",311.0,556.4,
025,Brunswick Co,81.9,131.9,605.9,"1,066.9",401.7,318.3,
027,Buchanan Co,243.8,132.8,"1,991.9","1,863.2","1,011.4",421.9,
029,Buckingham Co,172.3,163.3,"1,487.3","1,178.1",292.7,513.5,
031,Campbell Co,131.4,153.2,"1,485.1","1,621.0",128.4,176.7,
033,Caroline Co,450.7,154.1,"1,212.4","1,516.9",93.1,308.9,
035,Carroll Co,112.1,109.8,"1,349.1","1,664.3",229.4,246.4,
036,Charles City Co,71.0,96.5,369.0,482.4,48.2,15.2,
037,Charlotte Co,254.4,111.2,993.9,913.7,488.7,251.8,
041,Chesterfield Co,220.3,156.2,"2,899.1","2,211.3",642.9,599.9,
043,Clarke Co,558.1,163.9,"1,922.3","1,318.2",784.7,369.3,
045,Craig Co,255.0,0.0,647.2,423.9,132.9,498.5,
047,Culpeper Co,217.3,201.3,"2,067.1","1,497.1",524.6,613.3,
