Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”,Name: “Table 1 of 1 on page 24 of 27”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,,,
,,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2001–2010,,
,,,,,,,,
Counties  (cont.),,,,,,,,
,,Violent Crime Rate,Violent Crime Rate,Property Crime Rate,Property Crime Rate,Drug Arrest Rate,Drug Arrest Rate,
,,2001,2010,2001,2010,2001,2010,
FIPS,Locality,Rate,Rate,Rate,Rate,Rate,Rate,
099,King George Co,211.9,110.2,"2,265.6","1,691.8",186.7,465.4,
101,King William Co,104.5,62.8,"1,104.9",884.8,430.5,231.6,
103,Lancaster Co,158.7,70.2,"1,048.9","1,343.2",221.6,76.8,
105,Lee Co,145.4,125.1,"1,941.3","1,055.2",540.7,183.9,
107,Loudoun Co,175.3,79.1,"1,970.8","1,155.6",249.9,265.9,
109,Louisa Co,102.1,129.7,"1,769.1",971.3,280.7,292.3,
111,Lunenburg Co,283.8,209.1,"1,304.1","1,060.9",786.9,398.5,
113,Madison Co,47.6,75.1,737.0,789.0,142.3,127.8,
115,Mathews Co,65.2,78.0,"1,522.4",980.2,618.5,426.9,
117,Mecklenburg Co,271.2,213.9,"2,070.7","1,964.7",339.4,452.1,
119,Middlesex Co,69.7,109.5,"1,134.8","1,368.7",624.8,179.4,
121,Montgomery Co,164.3,127.1,"1,951.0","2,321.2",339.7,416.0,
125,Nelson Co,153.7,66.6,"1,571.6","1,458.1",303.4,222.4,
127,New Kent Co,195.5,97.7,"1,766.7","1,508.5",387.7,501.3,
131,Northampton Co,311.5,129.1,"2,834.9","1,888.8",550.6,272.0,
133,Northumberland Co,32.3,113.5,"1,104.7",948.9,35.2,115.6,
135,Nottoway Co,178.7,119.9,"1,850.4","1,564.4",259.9,149.4,
137,Orange Co,105.5,80.6,810.5,"1,012.5",256.4,408.1,
139,Page Co,90.2,120.6,"1,314.6","1,871.7",194.8,310.6,
141,Patrick Co,188.0,119.0,"2,125.9","1,590.0",169.2,372.6,
143,Pittsylvania Co,123.8,78.7,722.1,"1,221.9",207.9,233.6,
145,Powhatan Co,86.4,85.6,855.4,877.1,196.7,349.3,
147,Prince Edward Co,118.7,162.6,751.6,"1,574.8",267.5,405.9,
149,Prince George Co,105.5,75.6,"1,464.8","1,405.2",595.6,187.3,
153,Prince William Co,215.8,159.7,"2,583.4","1,870.9",589.5,540.0,
155,Pulaski Co,182.1,215.1,"2,877.1","3,019.6",311.6,603.5,
157,Rappahannock Co,42.7,54.3,753.9,813.8,352.6,420.5,
159,Richmond Co,202.3,97.3,550.8,648.4,279.6,285.5,
161,Roanoke Co,236.3,139.6,"1,472.1","1,601.1",400.2,510.0,
163,Rockbridge Co,153.2,40.3,"1,503.0","1,313.5",317.9,348.6,
165,Rockingham Co,48.1,65.5,582.6,788.8,287.3,279.1,
167,Russell Co,47.4,83.1,"1,195.9","1,526.1",175.1,419.3,
169,Scott Co,104.2,120.8,"2,018.4","2,114.2",149.4,566.3,
171,Shenandoah Co,99.5,64.3,"1,102.9","1,597.9",329.0,864.4,
173,Smyth Co,198.3,198.7,"1,667.6","2,011.9",482.1,488.7,
175,Southampton Co,123.5,145.4,"1,582.6","1,647.8",390.1,211.6,
177,Spotsylvania Co,161.1,214.1,"2,029.0","1,923.2",312.6,703.4,
179,Stafford Co,93.9,161.3,"1,765.4","1,609.0",712.8,526.3,
181,Surry Co,365.6,297.5,"1,564.8",835.9,183.9,205.9,
183,Sussex Co,439.4,231.7,"1,676.2","1,671.2",289.4,844.8,
185,Tazewell Co,762.0,117.6,"2,569.6","2,557.8",265.2,713.6,
187,Warren Co,114.6,114.4,"2,809.9","2,264.8",356.8,773.9,
191,Washington Co,142.7,107.5,"1,585.5","2,348.9",94.0,415.1,
193,Westmoreland Co,203.2,80.2,"1,225.3",882.3,275.6,115.4,
195,Wise Co,312.4,142.3,"1,639.0","1,946.8",235.8,263.7,
197,Wythe Co,136.3,99.2,"2,228.1","1,686.3",667.8,663.5,
199,York Co,165.1,128.3,"2,036.8","1,836.1",782.7,420.0,
,,,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,23
,,,,,,,,
