Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”,Name: “Table 1 of 1 on page 63 of 82”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,
Report Period:,Report Period:,2009,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
16901,Duffield Fire & Rescue,Duffield Fire & Rescue,,,,,,,,,,,
Count,8,10,9,8,9,10,6,7,6,5,3,16,97
Exposures,0,0,0,0,0,0,0,1,0,0,1,0,2
Aid Given,0,0,0,0,0,0,0,0,2,1,0,0,3
16903,Gate City,,,,,,,,,,,,
Count,9,3,15,8,3,17,16,7,8,18,12,23,139
Exposures,0,0,0,3,0,0,0,0,0,0,0,0,3
Aid Given,4,5,8,1,1,0,0,3,1,1,1,5,30
16905,Nickelsville Fire,,,,,,,,,,,,
Count,0,0,1,2,0,3,0,1,1,1,0,2,11
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,2,0,0,1,1,0,0,0,0,1,5
16906,Weber City Fire,,,,,,,,,,,,
Count,8,10,16,9,10,9,10,2,11,4,0,2,91
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,1,2,1,3,0,0,0,0,0,1,9
16907,Ft. Blackmore Fire,Ft. Blackmore Fire,,,,,,,,,,,
Count,3,2,2,2,3,1,0,0,1,1,1,8,24
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,5,0,1,2,0,1,0,0,1,2,13
17109,TOMS BROOK,,,,,,,,,,,,
Count,32,40,52,15,13,25,21,28,11,17,6,18,278
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,2,3,4,5,0,4,1,3,5,9,2,6,44
Page 63 of 82,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,,3/5/10 7:50:37 AM
