nep_id,nep_name,landsqmi,airport,bus,care,communication,dams,electric,emergency,ferry,fire,hazmat,hwybridge,hwytunnel,lrbridge,lrfacility,lrtunnel,military,naturalgas,nuclear,oil,police,port,potable,railfacil,railbridge,railtunnel,runway,school,wastewater,id,year
nep01,Albemarle / Pamlico Sounds NEP,28405.9,50,29,53,249,1009,40,8,19,469,918,5350,NULL,NULL,NULL,NULL,NULL,5,NULL,6,268,15,95,28,107,NULL,75,1221,65,1,2011
nep03,Barnegat Bay NEP,1225.5,5,4,8,18,54,4,15,NULL,80,47,369,NULL,NULL,6,NULL,NULL,NULL,1,1,51,NULL,2,3,4,NULL,7,251,4,2,2011
nep04,Buzzards Bay NEP,500.9,2,11,2,9,76,4,4,2,19,56,169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,15,NULL,NULL,NULL,NULL,4,139,5,3,2011
nep05,Casco Bay NEP,988.8,2,3,6,23,41,2,5,11,32,61,124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,24,NULL,1,NULL,NULL,4,126,8,4,2011
nep06,Charlotte Harbor NEP,4559.1,6,NULL,16,40,107,11,1,1,38,117,660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,5,4,2,NULL,12,316,29,5,2011
nep07,Columbia River NEP,237396,138,80,155,578,1534,123,13,19,720,1379,11256,19,3,104,NULL,NULL,79,1,5,456,183,49,103,175,NULL,185,3412,336,6,2011
nep08,Corpus Christi Bay NEP,24768.5,22,16,22,77,497,11,6,7,59,296,2982,NULL,NULL,NULL,NULL,NULL,11,NULL,29,70,113,NULL,6,42,NULL,37,397,64,7,2011
nep09,Delaware Estuary NEP,12838,46,89,131,197,980,65,48,6,820,2338,7097,NULL,1,339,NULL,NULL,9,3,34,524,85,50,77,49,NULL,69,3341,485,8,2011
nep10,Delaware Inland Bays NEP,230.5,NULL,1,NULL,5,4,1,NULL,NULL,8,18,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,12,2,9,2011
nep11,Galveston Bay NEP,23871.3,49,79,179,186,1898,45,19,1,394,3803,10278,NULL,NULL,54,NULL,NULL,31,NULL,38,407,288,12,67,200,NULL,81,3964,627,10,2011
nep12,Indian River Lagoon NEP,1238.2,11,5,15,31,12,6,1,NULL,31,98,335,NULL,NULL,NULL,NULL,NULL,1,1,NULL,36,23,8,2,NULL,NULL,22,268,28,11,2011
nep13,Long Island Sound NEP,16085.2,35,112,123,243,1732,78,79,12,632,1353,8256,1,23,9,NULL,NULL,6,4,1,465,145,15,47,191,NULL,53,3174,214,12,2011
nep14,Maryland Coastal Bays NEP,312.1,2,1,1,8,3,1,NULL,NULL,9,6,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,3,NULL,NULL,NULL,5,14,6,13,2011
nep15,Massachusetts Bays NEP,6377.9,16,51,92,142,827,84,82,12,274,1058,3509,NULL,NULL,251,NULL,NULL,2,1,1,332,68,28,35,22,1,29,2120,89,14,2011
nep16,Mobile Bay NEP,44177,61,16,109,319,2761,73,31,5,612,2098,10455,NULL,NULL,NULL,NULL,NULL,78,NULL,17,414,232,25,43,122,1,73,1810,260,15,2011
nep17,Morro Bay NEP,89.1,NULL,2,1,1,1,1,NULL,NULL,3,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,1,NULL,NULL,11,NULL,16,2011
nep18,Narragansett Bay NEP,1668.5,10,24,31,55,334,25,32,4,110,579,1340,NULL,NULL,17,NULL,NULL,2,NULL,1,100,20,10,15,14,NULL,17,870,41,17,2011
nep19,New Hampshire Estuary NEP,1046.3,3,4,4,17,94,8,2,4,44,78,391,NULL,NULL,NULL,NULL,NULL,NULL,1,1,43,18,NULL,3,16,NULL,3,160,19,18,2011
nep20,New York / New Jersey Harbor NEP,16063.5,35,177,172,251,1129,57,94,28,988,2200,8985,2,22,183,NULL,NULL,14,2,49,704,397,36,66,357,1,56,5387,323,19,2011
nep21,Peconic Bay NEP,276,2,1,2,12,2,3,NULL,5,18,13,45,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,8,11,2,NULL,3,NULL,2,33,7,20,2011
nep22,Puget Sound NEP,13540.7,34,30,43,104,263,45,5,34,182,600,2588,18,NULL,38,NULL,NULL,23,NULL,15,139,301,33,53,33,NULL,42,1697,80,21,2011
nep23,San Francisco Bay NEP,68019.2,86,92,168,444,924,100,14,18,489,1492,10563,10,112,264,NULL,NULL,6,2,31,428,137,30,92,224,3,128,5414,148,22,2011
nep24,San Juan Bay,93,2,10,70,17,1,2,NULL,2,1,52,260,1,NULL,NULL,NULL,9,NULL,NULL,1,30,NULL,NULL,NULL,NULL,NULL,3,291,1,23,2011
nep25,Santa Monica Bay NEP,347.1,3,5,27,14,13,4,1,NULL,9,79,374,2,3,20,NULL,NULL,1,NULL,3,32,NULL,2,NULL,10,NULL,7,672,4,24,2011
nep26,Sarasota Bay NEP,255.3,1,6,4,8,NULL,NULL,NULL,NULL,10,18,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,7,NULL,NULL,NULL,2,111,10,25,2011
nep27,Tampa Bay NEP,2202.6,10,5,25,47,97,14,2,NULL,43,243,947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,40,76,5,8,2,NULL,20,619,36,26,2011
nep28,Tillamook Bay NEP,536.6,1,1,1,2,1,NULL,NULL,NULL,2,4,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,2,9,4,27,2011
nep29,Mississippi Drainage Basin to Gulf of Mexico,1253610,1514,822,2297,5830,39657,1182,579,95,12005,33362,218659,59,30,513,NULL,NULL,1754,24,333,7931,2884,1314,1058,3295,3,2280,40642,9661,28,2011
