"2010 Voting Precincts
Population Totals",,,
"County","Precinct
Number","Precinct Name","Total 
Population"
"Accomack","001101","Chincoteague",2941
"Accomack","001201","Atlantic",1462
"Accomack","001202","Greenbackville",1284
"Accomack","001203","Hallwood",819
"Accomack","001204","Saxis",529
"Accomack","001205","Tangier",727
"Accomack","001301","New Church",1859
"Accomack","001302","Oak Hall",1689
"Accomack","001401","Bloxom",1404
"Accomack","001402","Parksley",2256
"Accomack","001501","Mappsville",2033
"Accomack","001502","Rue",2056
"Accomack","001601","Accomac",3522
"Accomack","001701","Onancock",2565
"Accomack","001702","Onley",765
"Accomack","001801","Bobtown",589
"Accomack","001802","Keller",582
"Accomack","001803","Melfa",1569
"Accomack","001804","Quinby",410
"Accomack","001805","Wachapreague",539
"Accomack","001901","Painter",3564
"Albemarle","003101","Woodbrook",3596
"Albemarle","003103","Branchlands",2221
"Albemarle","003104","Agnor-Hurt",4134
"Albemarle","003105","Dunlora",2697
"Albemarle","003106","Northside",3034
"Albemarle","003201","Jack Jouett",3182
"Albemarle","003202","University Hall",5260
"Albemarle","003203","Georgetown",4751
"Albemarle","003204","Belfield",1370
"Albemarle","003301","Ivy",4625
"Albemarle","003302","Red Hill",4010
"Albemarle","003304","East Ivy",3589
"Albemarle","003305","Country Green",2912
"Albemarle","003401","Scottsville",2432
"Albemarle","003402","Monticello",2469
"Albemarle","003403","Porter's",2396
"Albemarle","003405","Cale",8105
"Albemarle","003406","Stone Robinson",3616
"Albemarle","003501","Keswick",1962
"Albemarle","003502","Stony Point",2108
"Albemarle","003503","Hollymead",6682
"Albemarle","003504","Free Bridge",4555
"Albemarle","003505","Burnley",2118
"Albemarle","003601","Crozet",5505
"Albemarle","003602","Free Union",2064
"Albemarle","003603","Earlysville",3984
"Albemarle","003604","Brownsville",4642
"Albemarle","003605","Yellow Mountain",951
"Alleghany","005101","Arritt",1718
"Alleghany","005103","Dameron",628
"Alleghany","005201","Humpback Bridge",1049
"Alleghany","005202","Dolly Ann",1300
"Alleghany","005301","Callaghan",849
"Alleghany","005302","Griffith",1640
"Alleghany","005401","Low Moor",1298
"Alleghany","005402","Jackson Heights",1087
"Alleghany","005501","Iron Gate",589
"Alleghany","005502","Peters Switch",1623
"Alleghany","005601","District 1",2291
"Alleghany","005701","District 2",2178
"Amelia","007101","Number One",2601
"Amelia","007201","Number Two",2666
"Amelia","007301","Number Three",2338
"Amelia","007401","Number Four",2743
"Amelia","007501","Number Five",2342
"Amherst","009101","Wright Shop",2273
"Amherst","009102","New Glasgow",2938
"Amherst","009103","Coolwell",1192
"Amherst","009201","Courthouse",4730
"Amherst","009202","Temperance",1735
"Amherst","009301","Monroe",1973
"Amherst","009302","Elon",3598
"Amherst","009303","Pleasant View",1020
"Amherst","009401","Amelon",4795
"Amherst","009402","Lonco",1865
"Amherst","009501","Madison",6234
"Appomattox","011101","Vera",925
"Appomattox","011102","Pamplin",1913
"Appomattox","011201","Chap",1171
"Appomattox","011202","Spout Spring",1805
"Appomattox","011301","460",1804
"Appomattox","011302","Stonewall",1649
"Appomattox","011401","Courthouse",2814
"Appomattox","011501","Oakville",2011
"Appomattox","011502","Agee",881
"Arlington","013001","Arlington",5790
"Arlington","013002","Ashton Heights",4190
"Arlington","013003","Aurora Hills",2391
"Arlington","013004","Ballston",2557
"Arlington","013005","Barcroft",3942
"Arlington","013006","Crystal City",3860
"Arlington","013007","Cherrydale",3889
"Arlington","013008","Hume",5432
"Arlington","013009","Columbia",4590
"Arlington","013010","Wilson",5927
"Arlington","013011","East Falls Church",2549
"Arlington","013012","Fairlington",3093
"Arlington","013013","Glen Carlyn",2751
"Arlington","013014","Clarendon",2801
"Arlington","013015","Lyon Park",3796
"Arlington","013016","Lyon Village",3705
"Arlington","013017","Overlee Knolls",3765
"Arlington","013018","Park Lane",6538
"Arlington","013019","Rosslyn",5564
"Arlington","013020","Thrifton",3502
"Arlington","013021","Virginia Highlands",5059
"Arlington","013022","Abingdon",3738
"Arlington","013023","Westover",2947
"Arlington","013024","Woodlawn",5228
"Arlington","013025","Arlington Forest",3420
"Arlington","013026","Fillmore",5109
"Arlington","013027","Jefferson",4429
"Arlington","013028","Claremont",5801
"Arlington","013029","Dominion Hills",3565
"Arlington","013030","Glebe",4929
"Arlington","013031","Lexington",3667
"Arlington","013032","Oakridge",5216
"Arlington","013033","Rock Spring",3733
"Arlington","013034","Yorktown",3375
"Arlington","013035","Madison",3890
"Arlington","013036","Marshall",4661
"Arlington","013037","Nottingham",3321
"Arlington","013038","Arlington View",4740
"Arlington","013039","Ashlawn",2605
"Arlington","013040","Virginia Square",4168
"Arlington","013041","Woodbury",5075
"Arlington","013042","Shirlington",3461
"Arlington","013043","Arlington Mill",6651
"Arlington","013044","Dawson",3065
"Arlington","013045","Buckingham",6426
"Arlington","013046","Central",4939
"Arlington","013047","Four Mile Run",2843
"Arlington","013048","Courtlands",3033
"Arlington","013049","Monroe",2387
"Arlington","013050","Crystal Plaza",4609
"Arlington","013051","Taylor",905
"Augusta","015101","Jolivue",2463
"Augusta","015102","Expo",3178
"Augusta","015103","Verona",5353
"Augusta","015201","Crimora",4839
"Augusta","015202","New Hope",2623
"Augusta","015203","Weyers Cave",3848
"Augusta","015301","Fort Defiance",3976
"Augusta","015302","North River",1559
