Name: “Table 1 of 1 on page 45 of 63”,Name: “Table 1 of 1 on page 45 of 63”,Name: “Table 1 of 1 on page 45 of 63”,Name: “Table 1 of 1 on page 45 of 63”,Name: “Table 1 of 1 on page 45 of 63”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,
§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,
The school board reports to the,,,,
public by November 1 of each odd-,,,,
numbered year the extent to which,,,,
the objectives of the division-wide,Highland County,YES,YES,YES
comprehensive plan have been met,,,,
during the previous two school,,,,
years.,,,,
The school board reports to the,,,,
public by November 1 of each odd-,,,,
numbered year the extent to which,,,,
the objectives of the division-wide,Highland County,YES,YES,YES
comprehensive plan have been met,,,,
during the previous two school,,,,
years.,,,,
Each school in the division prepares,,,,
"a comprehensive, unified, long-range",,,,
plan that was considered by the,Highland County,YES,YES,YES
board in developing the division-wide,,,,
comprehensive plan.,,,,
The school board reports to the,,,,
public by November 1 of each odd-,,,,
numbered year the extent to which,,,,
the objectives of the division-wide,Wise County,YES,YES,YES
comprehensive plan have been met,,,,
during the previous two school,,,,
years.,,,,
§ 22.1-253.13:7 – Standard 7. School board policies.,§ 22.1-253.13:7 – Standard 7. School board policies.,§ 22.1-253.13:7 – Standard 7. School board policies.,,
,,2008 - 2009,2007 - 2008,2006 - 2007
,,Was,Was,Was
Requirement,School Division,,,
,,Division,Division,Division
,,Compliant?,Compliant?,Compliant?
The school board maintains and,,,,
follows up-to-date policies that have,Mecklenburg,,,
,,YES,YES,YES
been reviewed at least every five,County,,,
years and revised as necessary.,,,,
,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools
,,,,Page 45
