Name: “Table 1 of 1 on page 92 of 110”,Name: “Table 1 of 1 on page 92 of 110”,Name: “Table 1 of 1 on page 92 of 110”,Name: “Table 1 of 1 on page 92 of 110”,Name: “Table 1 of 1 on page 92 of 110”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,
,,,,Overall
,,Number of,Number of,Completer
Course Completion Data,Courses,Enrollments,Completers,Percentage
Accelerated Education1,N/A,0,0,0.00%
,See Course,,,79.14%
Apex Learning,List,350,277,
,See Course,,,84.62%
BYU Independent Study,List,13,11,
Cambium Learning1,N/A,0,0,0.00%
,See Course,,,94.80%
Chesterfield County Public Schools,List,827,784,
CompuHigh1,N/A,0,0,0.00%
,See Course,,,88.89%
Connections Academy,List,81,72,
Connections Education GradPoint 1,N/A,0,0,0.00%
,See Course,,,86.46%
Edgenuity,List,96,83,
Edison Learning 1,N/A,0,0,0.00%
Edmentum1,N/A,0,0,0.00%
,See Course,,,47.68%
EdOptions Online,List,302,144,
FlipSwitch (formerly known as,,,,
American Virtual Academy) 1,N/A,0,0,0.00%
,See Course,,,77.05%
Florida Virtual School,List,61,47,
Glynlyon OdysseyWare1,N/A,0,0,0.00%
,See Course,,,49.15%
K12,List,2883,1417,
Middleton Academy (formerly known,N/A,,,0.00%
as Milburn Online) 1,,0,0,
Proximity Learning 1,N/A,0,0,0.00%
The American Academy1,N/A,0,0,0.00%
,See Course,,,97.55%
VHS Global,List,204,199,
,See Course,,,
York County Public Schools,List,4,4,100.00%
Totals,,4821,3038,63.02%
,,,,91
