Name: “Table 1 of 1 on page 82 of 110”,Name: “Table 1 of 1 on page 82 of 110”,Name: “Table 1 of 1 on page 82 of 110”,Name: “Table 1 of 1 on page 82 of 110”,Name: “Table 1 of 1 on page 82 of 110”,Name: “Table 1 of 1 on page 82 of 110”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,
,"§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation."
,Please Note:,The accreditation ratings are for school year 2012-2013.,The accreditation ratings are for school year 2012-2013.,The accreditation ratings for,The accreditation ratings for
,,school year 2013-2014 will be reported in the 2014 annual report.,school year 2013-2014 will be reported in the 2014 annual report.,school year 2013-2014 will be reported in the 2014 annual report.,
,,2012-2013,2011-2012,2010-2011,2009-2010
Requirement,School Division,Was Division,Was Division,Was Division,Was Division
,,Compliant?,Compliant?,Compliant?,Compliant?
All schools are fully accredited by,,,,,
the Board of Education.,Frederick County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Grayson County,No,Yes,Yes,No
All schools are fully accredited by,,,,,
the Board of Education.,Hampton City,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education.,Henrico County,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education.,Hopewell City,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,King & Queen County,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Lee County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Louisa County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Lynchburg City,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Madison County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Manassas City,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Mecklenburg County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Montgomery County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Newport News City,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education.,Norfolk City,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education,Northampton County,No,Yes,No,No
,,,,,81
