"PERCENT PASSING SOL TESTS SPRING 1998-SPRING 2002",,,,,,"Grade 3 English: Percent Passing 1998 - 2002",,,,,"Grade 3 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 3 History: Percent Passing 1998 - 2002",,,,,"Grade 3 Science: Percent Passing 1998 - 2002",,,,,"Grade 5 Writing: Percent Passing 1998 - 2002",,,,,"Grade 5 English:RLR  Percent Passing 1998 - 2002",,,,,"Grade 5 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 5 History: Percent Passing 1998 - 2002",,,,,"Grade 5 Science: Percent Passing 1998 - 2002",,,,,"Grade 5 Computer/Technology: Percent Passing 1998 - 2002",,,,,"Grade 8 Writing: Percent Passing 1998 - 2002",,,,,"Grade 8 English:RLR  Percent Passing 1998 - 2002",,,,,"Grade 8 Mathematics: Percent Passing 1998 - 2002",,,,,"Grade 8 History: Percent Passing 1998 - 2002",,,,,"Grade 8 Science: Percent Passing 1998 - 2002",,,,,"Grade 8 Computer/Technology: Percent Passing 1998 - 2002",,,,,"EOC Writing: Percent Passing 1998 - 2002",,,,,"EOC English RLR: Percent Passing 1998 - 2002",,,,,"EOC Algebra I: Percent Passing 1998 - 2002",,,,,"EOC Geometry: Percent Passing 1998 - 2002",,,,,"EOC Algebra II: Percent Passing 1998 - 2002",,,,,"EOC U.S. History: Percent Passing 1998 - 2002",,,,,"EOC World History I: Percent Passing 1998 - 2002",,,,,"EOC World History II: Percent Passing 1998 - 2002",,,,,"EOC World Geography: Percent Passing 1998 - 2002",,,,,"EOC Earth Science: Percent Passing 1998 - 2002",,,,,"EOC Biology: Percent Passing 1998 - 2002",,,,,"EOC Chemistry: Percent Passing 1998 - 2002",,,,
"DIV #","DIVISION NAME","SCH #","LOW GR","HIGH GR","SCHOOL NAME"," English 1998  "," English 1999  "," English 2000  "," English 2001  "," English 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 2000"," Science 2001"," Science 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR 1999  "," English:RLR 2000  "," English:RLR 2001  "," English:RLR 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 20000"," Science 2001"," Science 2002"," Computer/ Technology 1998  "," Computer/ Technology 1999"," Computer/ Technology 20000"," Computer/ Technology 2001"," Computer/ Technology 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR 1999  "," English:RLR 2000  "," English:RLR 2001  "," English:RLR 2002  "," Mathematics  1998  "," Mathematics 1999  "," Mathematics 2000  "," Mathematics 2001  "," Mathematics 2002  "," History 1998  "," History 1999  "," History 2000  "," History 2001  "," History 2002  "," Science 1998  "," Science 1999"," Science 2000"," Science 2001"," Science 2002"," Computer/ Technology 1998  "," Computer/ Technology 1999"," Computer/ Technology 2000"," Computer/ Technology 2001"," Computer/ Technology 2002"," Writing 1998  "," Writing 1999  "," Writing 2000  "," Writing 2001  "," Writing 2002  "," English:RLR 1998  "," English:RLR   1999  "," English:RLR   2000  "," English:RLR 2001  "," English:RLR 2002  ","Algebra I   1998  ","Algebra I  1999  ","Algebra I  2000  ","Algebra I  2001  ","Algebra I  2002  ","Geometry   1998  ","Geometry  1999  ","Geometry  2000  ","Geometry  2001  ","Geometry  2002  ","Algebra II  1998  ","Algebra II 1999  ","Algebra II 2000  ","Algebra II 2001  ","Algebra II 2002  ","U.S. History 1998  ","U.S. History 1999  ","U.S. History 2000  ","U.S. History 2001  ","U.S. History 2002  ","World History I 1998  ","World History I 1999","World History I 2000","World History I 2001","World History I 2002","World History  II 1998  ","World History  II 1999  ","World History  II 2000  ","World History  II 2001  ","World History  II 2002  ","World Geography 1998  ","World Geography 1999  ","World Geography 2000  ","World Geography 2001  ","World Geography 2002  ","Earth Science 1998  ","Earth Science 1999  ","Earth Science 2000  ","Earth Science 2001  ","Earth Science 2002  ","Biology  1998  ","Biology 1999  ","Biology 2000  ","Biology 2001  ","Biology 2002  ","Chemistry  1998  ","Chemistry 1999  ","Chemistry 2000  ","Chemistry 2001  ","Chemistry 2002  "
,"STATE SUMMARY",,,,"STATE SUMMARY",54.7293,61.3731,60.7379,64.5431,71.6284,63.4576,67.8472,71.3301,77.1427,80.3853,48.9258,62.4879,65.1238,71.836,76.2839,63.0337,68.4906,72.5757,73.9181,78.1554,64.5612,80.7161,80.5735,84.3056,83.5828,68.2969,69.4684,68.3801,72.8925,77.7336,46.5569,50.5452,63.2696,66.6123,71.08,32.7616,46.1389,51.1655,62.7264,72.1522,59.2444,66.9295,64.1409,74.7189,76.0598,72.05,80.8589,85.044,82.1094,86.1813,67.1882,70.0628,76.4427,75.4113,75.7929,64.7095,66.8129,69.7259,73.0396,69.2804,52.7773,60.4492,61.3402,68.0379,70.8269,35.2523,39.9672,50.4011,56.3995,78.2713,71.1804,78.0554,81.5273,84.0889,85.0122,63.446,72.1718,77.9073,79.1445,76.3851,70.6562,81.212,85.0446,84.4347,85.768,71.5934,75.4135,78.118,82.2871,86.1937,40.0401,55.8201,65.1642,74.4885,78.4152,51.9191,62.1412,66.7875,73.2534,75.8175,30.6606,51.4528,57.8559,73.584,76.8332,30.2016,32.2822,39.1961,47.3454,71.6295,61.8078,67.7954,75.2638,83.0581,85.9459,41.2046,47.1495,59.5973,65.1803,78.6051,"N/A","N/A",75.7675,77.3997,73.9611,57.8029,65.1217,69.8056,73.0516,69.7033,72.3924,81.1883,79.4417,81.3776,83.2282,54.322,64.1465,63.7817,73.7577,78.3134
1,"ACCOMACK",,,,"DIVISION SUMMARY",25.814,38.1579,34.5455,39.4608,63.7795,36.534,41.1379,46.3636,59.3596,75.3846,16.9014,27.9736,31.9347,50.995,67.0951,31.3539,38.1057,39.5402,51.4851,69.3299,35.4839,62.1777,47.7647,52.5164,60.4706,52.2427,48.7324,33.4906,48.3589,62.0438,22.6913,20.904,27.5534,43.0769,67.4699,8.5106,19.4366,17.613,45.2607,58.6118,35.7527,43.3428,28.0952,48.4649,58.7822,39.5722,50.9859,60.4265,56.1404,69.2857,46.1538,47.1053,53.6741,58.0563,54.4693,49.3075,48.8491,51.6447,60.9254,55.2778,19.5531,30.8782,30.03,44.8087,54.5181,14.7309,19.5467,21.3783,".",57.2308,47.4286,55.4645,59.6386,70.442,72.2054,28.125,40.4145,49.3036,55.2083,55.8333,53.5912,73.8372,86.4516,78.4884,88.6792,66.6667,62.9834,74.8252,81.1765,88.3178,25.5814,50,53.0233,62.4573,75.4513,38.7387,55.3719,51.6129,65.6627,67.2897,13.1868,47.4359,42.3077,72.4638,97.4359,18.3432,19.8198,22.1374,24.3902,60.6557,47.7941,50.6098,68.2609,73.9362,84.9515,35.443,31.9149,52,54.0084,56.5789,,,".",83.3333,75,41.3978,57.5916,66.8342,68.4783,64.6825,64.0394,75.5,80.4598,89.3617,82.5397,50.5882,59.5745,68.4211,72.2222,67.6768
1,"ACCOMACK",70,"9","12","NANDUA HIGH",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.9485,72.3684,90.9091,88.8889,93.1373,71.4286,61.5385,82.6923,90.1235,91.1765,33.3333,69.5122,60.6742,62.7329,76.1905,64.8649,70.4545,73.1707,84.2105,69.8925,23.2558,65.1163,50,75,97.561,33.9286,24.3243,28,28.8462,56.3636,87.5,58.209,63.9175,88,90.4762,72.9167,39.1892,60,50,57.1429,,,".",".",".",55.3846,68.8312,63.5417,75.3425,63.1148,79.7619,93.4426,97.2222,96.25,96.0526,75,84.3137,76.4706,88,71.875
1,"ACCOMACK",80,"PK","5","CHINCOTEAGUE ELEM.",53.0612,74.4681,69.8113,60.3774,75.5102,62,71.4286,79.2453,83.0189,90,44,63.8298,67.3077,73.5849,89.5833,55.102,72.3404,82.6923,75.4717,88.2353,62.2222,88.5714,62,83.3333,82.2222,74.4186,82.8571,52.9412,79.5918,86.3636,39.5349,26.4706,41.1765,64,79.5455,4.6512,34.2857,27.1845,54.3478,65.2174,53.4884,77.1429,50.9804,70,89.5833,72.093,80,72.549,82,93.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",180,"6","8","PARKSLEY MIDDLE",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",40.6504,46.3768,45.3125,54.2636,46.281,42.0168,48.2759,50,65.3846,60.8696,11.9658,22.6027,16.3934,40,56.5217,13.1579,29.1667,18.677,".",58.6207,38.9381,57.931,55.2846,73.6434,71.5517,20.354,35.4167,44.2623,48.8372,48.7179,".",".",".",".",".",".",".",".",".",".",64.2857,78.5714,61.5385,63.6364,83.3333,".",".",".",100,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",430,"6","8","CENTRAL MIDDLE",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",36.9231,36.5385,54.0984,59.2593,50.8772,31.8182,29.4118,47.541,49.3827,50,12.1212,17.6471,26.2295,33.75,44.0678,12.3077,3.9216,15.873,".",63.1579,36.9231,50.9804,55.7377,62.5,61.6667,19.697,33.3333,38.3333,46.8354,42.1875,".",".",".",".",".",".",".",".",".",".",57.1429,100,35.7143,88.8889,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",530,"KG","12","TANGIER COMB.",0,50,50,40,66.6667,0,60,62.5,40,83.3333,0,50,37.5,60,80,0,60,62.5,80,80,50,93.3333,57.1429,55.5556,75,83.3333,93.3333,20,66.6667,87.5,66.6667,46.6667,0,77.7778,87.5,50,53.3333,42.8571,62.5,80,33.3333,80,20,55.5556,75,66.6667,73.3333,40,55.5556,62.5,63.6364,50,66.6667,75,66.6667,72.7273,50,60,100,73.3333,9.0909,0,0,100,53.3333,0,0,0,".",73.3333,54.5455,58.3333,66.6667,80,92.8571,27.2727,41.6667,83.3333,60,73.3333,66.6667,".",".",".",".",100,".",".",".",".",".",".",25,".",100,11.1111,25,18.1818,".",".",0,".",".",".",".",11.1111,".",28.5714,0,25,44.4444,".",".",".",".",11.1111,0,".",".",42.8571,,,".",83.3333,75,".",".",".",100,".",".",".",".",".",".",".",".",".",55.5556,25
1,"ACCOMACK",540,"9","12","ARCADIA HIGH",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,".",".",".",".",0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",36.7647,77.4648,83.1325,69.7368,84.375,55.7143,65.3846,70.6667,72.2222,87.7551,3.2609,20.5607,25,33.9623,67.0886,24.5283,42.3077,48,31.4815,50,3.125,25.7143,34.2857,66.6667,97.2973,10.4651,13.5593,13.1148,21.5686,65.3061,41.3043,49.3827,67.8261,58.427,80,20.5128,32.5581,39.7059,59.2105,42.5532,,,".",".",".",27.381,41.3043,61.8421,56.6265,63.7255,53.4091,60.5769,62.6506,85.2273,72.2222,42.5532,40.678,64,77.2727,87.5
1,"ACCOMACK",560,"6","8","MARY N. SMITH MIDDLE",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",49.6,46.5649,61.8644,53.125,60.8696,58.4,50,55.2632,54.4,49.5652,25.8065,35.1145,34.2105,43.2,50.8772,19.5122,16.9231,24.4898,".",50.4505,54.0984,56.0606,65.2174,68.8,76.7857,32.7869,38.7597,50.8772,58.0645,62.5,".",".",".",".",".",".",".",".",".",".",85,94.7368,66.6667,89.4737,85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"ACCOMACK",580,"6","12","CHINCOTEAGUE HIGH",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.5,61.7021,".",77.551,60,65,66.6667,".",81.25,60.7843,37.5,84,83.3333,100,96,12.5,10.7143,33.3333,".",60,66.6667,46.1538,62.963,86.9565,71.4286,50,66,64.9123,78.7234,69.2308,42.8571,68,88.2353,66.6667,85.7143,71.4286,60,68.75,76.4706,71.4286,11.1111,47.2222,65,86.2069,72.7273,41.6667,70.5882,36.3636,77.1429,83.3333,12.5,".",0,88.8889,".",11.1111,33.3333,38.4615,36.3636,72.2222,25.8065,25,94.4444,87.5,86.3636,17.3913,16.6667,68.1818,55.5556,73.1707,,,".",".",".",48.6486,86.3636,92.5926,81.8182,75,51.6129,88.5714,94.7368,80,78.2609,20,54.8387,63.6364,61.7647,64.5161
