Grade 5 - All Subjects																																				
Run on February 27, 2006																																				
Category	English Proficient 2003	English Advanced 2003	English Passed 2003	English Proficient 2004	English Advanced 2004	English Passed 2004	English Proficient 2005	English Advanced 2005	English Passed 2005	Math Proficient 2003	Math Advanced 2003	Math Passed 2003	Math Proficient 2004	Math Advanced 2004	Math Passed 2004	Math Proficient 2005	Math Advanced 2005	Math Passed 2005	History Proficient 2003	History Advanced 2003	History Passed 2003	History Proficient 2004	History Advanced 2004	History Passed 2004	History Proficient 2005	History Advanced 2005	History Passed 2005	Science Proficient 2003	Science Advanced 2003	Science Passed 2003	Science Proficient 2004	Science Advanced 2004	Science Passed 2004	Science Proficient 2005	Science Advanced 2005	Science Passed 2005
All Students	63	19	82	53	31	85	56	30	85	56	17	74	58	20	78	55	25	80	59	20	79	48	38	86	41	44	85	67	12	79	62	22	84	66	15	81
Am Indian/Alaskan Native	66	19	85	54	30	84	59	32	90	62	13	76	65	16	80	56	25	81	61	20	81	48	40	88	46	37	83	68	13	81	65	23	87	73	13	87
Asian/Pacific Islander	68	20	88	51	42	93	55	38	93	56	31	87	56	33	89	48	41	89	60	26	86	42	50	92	36	56	92	71	14	86	61	29	90	69	19	88
Black	62	7	70	57	16	74	61	14	75	52	7	59	57	8	65	57	12	68	57	10	67	55	23	79	49	27	75	58	4	62	62	8	70	61	5	66
Hispanic	64	9	73	61	20	81	64	17	81	53	11	64	57	10	67	56	14	70	57	12	69	53	26	79	45	30	76	62	5	68	63	11	73	63	6	70
White	63	25	88	51	38	89	53	37	90	59	22	80	59	25	84	55	31	86	60	25	84	45	45	90	37	52	89	71	16	87	63	28	91	68	20	88
Native Hawaiian	.	.	.	53	35	88	56	33	89	.	.	.	57	20	77	58	30	88	.	.	.	50	34	84	40	48	88	.	.	.	70	16	86	77	12	89
Ethnicity Unknown	60	21	81	50	36	86	54	33	88	55	18	73	58	20	78	53	28	81	60	18	78	48	41	89	39	48	87	70	11	81	63	22	85	68	15	83
Female	64	20	85	52	35	88	55	33	88	58	17	75	60	19	79	57	25	82	61	18	78	50	36	86	43	41	84	67	10	77	64	19	83	67	13	80
Male	62	18	80	54	28	82	56	27	83	55	18	72	56	20	76	53	25	79	57	22	79	46	40	87	39	46	85	67	14	81	60	25	85	66	16	82
Gender Unknown	61	6	68	50	17	67	57	23	80	48	6	55	44	13	57	45	24	69	66	7	73	55	24	79	46	42	88	61	6	68	52	15	67	68	9	77
Students with Disabilities	52	5	57	50	9	59	52	10	62	43	4	47	41	6	48	43	8	50	47	7	54	47	18	66	41	22	63	56	4	60	54	8	63	53	6	58
Limited English Proficient	60	5	65	62	19	80	66	15	80	50	10	60	53	12	66	52	15	67	53	10	63	53	24	77	45	29	74	57	3	60	60	8	68	61	6	67
