REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
3 - Charlottesville/Staunton,22841, 07/09/2012,Joy Food Mart,48148,629 N Main St,Mt Crawford,VA
3 - Charlottesville/Staunton,22827-1693, 07/09/2012,Valley Grocery LLC,64322,177 South East Side Hwy,Elkton,VA
3 - Charlottesville/Staunton,22827-2725, 07/09/2012,Countryside Market,42321,1285 North East Side Hwy,Elkton,VA
3 - Charlottesville/Staunton,22840, 07/09/2012,Massanutten Conference Center,5092,4308 Massanutten Dr,McGaheysville,VA
3 - Charlottesville/Staunton,22827, 07/09/2012,VFW of The U S,22513,13958 Spotswood Trl,Elkton,VA
3 - Charlottesville/Staunton,22801, 07/09/2012,El Jalapeno Restaurant,63996,2184 John Wayland Hwy # 9,Harrisonburg,VA
3 - Charlottesville/Staunton,22815, 07/09/2012,Mayland Market,66253,2247 Mayland Rd,Broadway,VA
3 - Charlottesville/Staunton,22853, 07/09/2012,Food Lion 1425,9866,State Rt 42 & Rt 800 Jamesway Plz,Timberville,VA
3 - Charlottesville/Staunton,22853, 07/09/2012,Timberville Moose Lodge 2335,57002,384 S Main St,Timberville,VA
3 - Charlottesville/Staunton,22821-2331, 07/09/2012,Dry River Store,64898,1228 Clover Hill Rd,Dayton,VA
1 - Roanoke,24136, 07/12/2012,Pembroke Stop N Save,45209,138 Grill Rd,Pembroke,VA
1 - Roanoke,24141, 07/12/2012,Food Lion 399,9684,1200 Tyler Ave,Radford,VA
1 - Roanoke,24141-5342, 07/12/2012,Quick Way 4,67914,1123 Fairfax St,Radford,VA
6 - Richmond,23229-4614, 07/20/2012,Westbury Pharmacy,58901,8903 Three Chopt Rd,Richmond,VA
1 - Roanoke,24019, 07/24/2012,Franks Pizza,30229,41 Summers Way Ste 101,Roanoke,VA
1 - Roanoke,24012-6245, 07/24/2012,Happy Shopper,78278,931 Gus W Nicks Blvd NE,Roanoke,VA
1 - Roanoke,24012-4831, 07/24/2012,The Fillin Station,51682,2217 Williamson Rd NE,Roanoke,VA
1 - Roanoke,24012-3331, 07/24/2012,W R Brews,19470,3801 Williamson Rd NW,Roanoke,VA
1 - Roanoke,24012-1437, 07/24/2012,Papa Ds,4668,5435 Williamson Rd,Roanoke,VA
1 - Roanoke,24012-1231, 07/24/2012,Franks Italian Restaurant,78788,5933 Williamson Rd,Roanoke,VA
1 - Roanoke,24019-4234, 07/24/2012,Kroger # 209,77977,7223 Williamson Rd,Roanoke,VA
1 - Roanoke,24019, 07/24/2012,Hollywoods Restaurant and Bar,15715,7770 Williamson Rd,Roanoke,VA
