Grade 3 - All Subjects																																				
Run on February 27, 2006																																				
Category	English Proficient 2003	English Advanced 2003	English Passed 2003	English Proficient 2004	English Advanced 2004	English Passed 2004	English Proficient 2005	English Advanced 2005	English Passed 2005	Math Proficient 2003	Math Advanced 2003	Math Passed 2003	Math Proficient 2004	Math Advanced 2004	Math Passed 2004	Math Proficient 2005	Math Advanced 2005	Math Passed 2005	History Proficient 2003	History Advanced 2003	History Passed 2003	History Proficient 2004	History Advanced 2004	History Passed 2004	History Proficient 2005	History Advanced 2005	History Passed 2005	Science Proficient 2003	Science Advanced 2003	Science Passed 2003	Science Proficient 2004	Science Advanced 2004	Science Passed 2004	Science Proficient 2005	Science Advanced 2005	Science Passed 2005
All Students	54	19	72	58	14	71	58	19	77	36	47	83	38	49	87	36	52	87	56	26	82	37	50	87	38	51	89	52	30	82	48	38	85	47	42	89
Am Indian/Alaskan Native	60	17	78	58	12	70	59	17	76	42	46	87	37	48	84	38	49	87	62	25	88	39	47	85	34	54	88	57	30	87	49	38	86	48	40	89
Asian/Pacific Islander	56	26	82	62	20	82	57	28	85	28	65	92	29	65	94	29	65	94	55	34	89	29	64	93	32	62	94	53	35	88	47	43	90	45	47	93
Black	50	7	57	50	5	55	56	9	66	44	27	71	49	28	76	46	32	78	57	13	71	43	36	79	47	34	81	55	12	68	55	18	73	56	23	79
Hispanic	53	8	61	57	6	63	58	11	69	42	36	78	48	34	82	45	35	80	60	15	75	43	38	81	47	35	82	57	15	72	56	21	77	55	25	80
White	55	24	79	61	18	78	59	23	81	32	56	88	33	58	92	31	61	92	56	32	87	34	57	91	33	59	93	50	39	89	44	48	91	42	51	93
Native Hawaiian	.	.	.	71	7	78	60	22	82	.	.	.	36	54	90	31	64	95	.	.	.	37	55	92	33	58	92	.	.	.	62	30	92	39	48	87
Ethnicity Unknown	52	21	73	59	14	73	59	20	80	37	48	85	37	50	87	34	56	90	57	27	84	35	52	88	36	55	91	54	30	84	47	39	86	47	45	91
Female	54	21	75	59	16	76	59	22	81	37	46	83	39	48	87	36	51	88	58	24	82	38	49	87	39	50	89	54	28	82	49	36	85	49	40	88
Male	53	16	69	56	11	67	57	16	73	35	48	83	38	49	87	35	52	87	55	27	82	36	52	87	36	52	89	51	31	82	47	39	86	45	44	89
Gender Unknown	56	7	63	48	4	52	64	8	71	42	33	75	49	20	70	37	39	76	56	16	71	53	27	80	38	39	78	54	17	72	67	13	80	47	35	82
Students with Disabilities	46	5	51	39	4	43	43	6	49	42	20	62	45	27	73	42	30	71	53	11	63	43	27	70	44	30	74	53	14	67	49	22	71	49	26	74
Limited English Proficient	49	6	55	55	6	61	57	12	69	42	33	75	48	35	82	45	35	80	59	12	71	44	36	80	47	35	82	55	12	67	58	17	75	56	23	80
