"2010 Counties and Cities
Population Totals",,
"FIPS","County Name","Total
Population"
"001","Accomack",33164
"003","Albemarle",98970
"005","Alleghany",16250
"007","Amelia",12690
"009","Amherst",32353
"011","Appomattox",14973
"013","Arlington",207627
"015","Augusta",73750
"017","Bath",4731
"019","Bedford",68676
"021","Bland",6824
"023","Botetourt",33148
"025","Brunswick",17434
"027","Buchanan",24098
"029","Buckingham",17146
"031","Campbell",54842
"033","Caroline",28545
"035","Carroll",30042
"036","Charles City",7256
"037","Charlotte",12586
"041","Chesterfield",316236
"043","Clarke",14034
"045","Craig",5190
"047","Culpeper",46689
"049","Cumberland",10052
"051","Dickenson",15903
"053","Dinwiddie",28001
"057","Essex",11151
"059","Fairfax",1081726
"061","Fauquier",65203
"063","Floyd",15279
"065","Fluvanna",25691
"067","Franklin",56159
"069","Frederick",78305
"071","Giles",17286
"073","Gloucester",36858
"075","Goochland",21717
"077","Grayson",15533
"079","Greene",18403
"081","Greensville",12243
"083","Halifax",36241
"085","Hanover",99863
"087","Henrico",306935
"089","Henry",54151
"091","Highland",2321
"093","Isle of Wight",35270
"095","James City",67009
"097","King and Queen",6945
"099","King George",23584
"101","King William",15935
"103","Lancaster",11391
"105","Lee",25587
"107","Loudoun",312311
"109","Louisa",33153
"111","Lunenburg",12914
"113","Madison",13308
"115","Mathews",8978
"117","Mecklenburg",32727
"119","Middlesex",10959
"121","Montgomery",94392
"125","Nelson",15020
"127","New Kent",18429
"131","Northampton",12389
"133","Northumberland",12330
"135","Nottoway",15853
"137","Orange",33481
"139","Page",24042
"141","Patrick",18490
"143","Pittsylvania",63506
"145","Powhatan",28046
"147","Prince Edward",23368
"149","Prince George",35725
"153","Prince William",402002
"155","Pulaski",34872
"157","Rappahannock",7373
"159","Richmond",9254
"161","Roanoke",92376
"163","Rockbridge",22307
"165","Rockingham",76314
"167","Russell",28897
"169","Scott",23177
"171","Shenandoah",41993
"173","Smyth",32208
"175","Southampton",18570
"177","Spotsylvania",122397
"179","Stafford",128961
"181","Surry",7058
"183","Sussex",12087
"185","Tazewell",45078
"187","Warren",37575
"191","Washington",54876
"193","Westmoreland",17454
"195","Wise",41452
"197","Wythe",29235
"199","York",65464
"510","Alexandria",139966
"515","Bedford city",6222
"520","Bristol",17835
"530","Buena Vista",6650
"540","Charlottesville",43475
"550","Chesapeake",222209
"570","Colonial Heights",17411
"580","Covington",5961
"590","Danville",43055
"595","Emporia",5927
"600","Fairfax city",22565
"610","Falls Church",12332
"620","Franklin city",8582
"630","Fredericksburg",24286
"640","Galax",7042
"650","Hampton",137436
"660","Harrisonburg",48914
"670","Hopewell",22591
"678","Lexington",7042
"680","Lynchburg",75568
"683","Manassas",37821
"685","Manassas Park",14273
"690","Martinsville",13821
"700","Newport News",180719
"710","Norfolk",242803
"720","Norton",3958
"730","Petersburg",32420
"735","Poquoson",12150
"740","Portsmouth",95535
"750","Radford",16408
"760","Richmond city",204214
"770","Roanoke",97032
"775","Salem",24802
"790","Staunton",23746
"800","Suffolk",84585
"810","Virginia Beach",437994
"820","Waynesboro",21006
"830","Williamsburg",14068
"840","Winchester",26203
