Location,TimeFrame,DataFormat,Data
Amherst,2000,Number,31894
Amherst,2001,Number,31973
Amherst,2002,Number,31756
Amherst,2003,Number,31755
Amherst,2004,Number,31721
Amherst,2005,Number,31871
Amherst,2006,Number,31991
Amherst,2007,Number,32134
Amherst,2008,Number,32449
Amherst,2009,Number,32482
Amherst,2010,Number,32353
Amherst,2011,Number,32167
Appomattox,2000,Number,13705
Appomattox,2001,Number,13779
Appomattox,2002,Number,13668
Appomattox,2003,Number,13661
Appomattox,2004,Number,13783
Appomattox,2005,Number,13810
Appomattox,2006,Number,14005
Appomattox,2007,Number,14193
Appomattox,2008,Number,14529
Appomattox,2009,Number,14552
Appomattox,2010,Number,14973
Appomattox,2011,Number,15041
Arlington,2000,Number,189453
Arlington,2001,Number,193318
Arlington,2002,Number,195469
Arlington,2003,Number,196643
Arlington,2004,Number,197955
Arlington,2005,Number,199761
Arlington,2006,Number,200673
Arlington,2007,Number,203914
Arlington,2008,Number,210196
Arlington,2009,Number,217483
Arlington,2010,Number,207627
Arlington,2011,Number,216004
Augusta,2000,Number,65615
Augusta,2001,Number,66062
Augusta,2002,Number,66476
Augusta,2003,Number,67155
Augusta,2004,Number,68113
Augusta,2005,Number,68955
Augusta,2006,Number,70603
Augusta,2007,Number,71579
Augusta,2008,Number,71799
Augusta,2009,Number,72020
Augusta,2010,Number,73750
Augusta,2011,Number,73549
Bath,2000,Number,5048
Bath,2001,Number,5000
Bath,2002,Number,4996
Bath,2003,Number,4934
Bath,2004,Number,4863
Bath,2005,Number,4784
Bath,2006,Number,4684
Bath,2007,Number,4659
Bath,2008,Number,4572
Bath,2009,Number,4482
Bath,2010,Number,4731
Bath,2011,Number,4657
Bedford City,2000,Number,6299
Bedford City,2001,Number,6333
Bedford City,2002,Number,6290
Bedford City,2003,Number,6246
Bedford City,2004,Number,6239
Bedford City,2005,Number,6254
Bedford City,2006,Number,6243
Bedford City,2007,Number,6292
Bedford City,2008,Number,6315
Bedford City,2009,Number,6350
Bedford City,2010,Number,6222
Bedford City,2011,Number,6181
Bedford County,2000,Number,60371
Bedford County,2001,Number,60980
Bedford County,2002,Number,61356
Bedford County,2003,Number,62036
Bedford County,2004,Number,63014
Bedford County,2005,Number,64104
Bedford County,2006,Number,65483
Bedford County,2007,Number,66373
Bedford County,2008,Number,66465
Bedford County,2009,Number,67154
Bedford County,2010,Number,68676
Bedford County,2011,Number,69246
Bland,2000,Number,6871
Bland,2001,Number,6884
Bland,2002,Number,6826
Bland,2003,Number,6870
Bland,2004,Number,6853
Bland,2005,Number,6794
Bland,2006,Number,6742
Bland,2007,Number,6822
Bland,2008,Number,6811
Bland,2009,Number,6791
Bland,2010,Number,6824
Bland,2011,Number,6818
Botetourt,2000,Number,30496
Botetourt,2001,Number,30668
Botetourt,2002,Number,31058
Botetourt,2003,Number,31304
Botetourt,2004,Number,31526
Botetourt,2005,Number,31501
Botetourt,2006,Number,32180
Botetourt,2007,Number,32345
Botetourt,2008,Number,32579
Botetourt,2009,Number,32551
Botetourt,2010,Number,33148
Botetourt,2011,Number,32928
Bristol,2000,Number,17367
Bristol,2001,Number,17356
Bristol,2002,Number,17101
Bristol,2003,Number,17433
Bristol,2004,Number,17479
Bristol,2005,Number,17425
Bristol,2006,Number,17571
Bristol,2007,Number,17429
Bristol,2008,Number,17516
Bristol,2009,Number,17690
Bristol,2010,Number,17835
Bristol,2011,Number,17750
Brunswick,2000,Number,18419
Brunswick,2001,Number,18342
Brunswick,2002,Number,18256
Brunswick,2003,Number,18047
Brunswick,2004,Number,17918
Brunswick,2005,Number,17963
Brunswick,2006,Number,17950
Brunswick,2007,Number,17743
Brunswick,2008,Number,17762
Brunswick,2009,Number,17514
Brunswick,2010,Number,17434
Brunswick,2011,Number,17204
Buchanan,2000,Number,26978
Buchanan,2001,Number,26319
Buchanan,2002,Number,25945
Buchanan,2003,Number,25407
Buchanan,2004,Number,24950
Buchanan,2005,Number,24452
Buchanan,2006,Number,23992
Buchanan,2007,Number,23526
Buchanan,2008,Number,23090
Buchanan,2009,Number,22860
Buchanan,2010,Number,24098
Buchanan,2011,Number,23581
Buckingham,2000,Number,15623
Buckingham,2001,Number,15724
Buckingham,2002,Number,15674
Buckingham,2003,Number,15709
Buckingham,2004,Number,15701
Buckingham,2005,Number,15815
Buckingham,2006,Number,15852
Buckingham,2007,Number,15954
Buckingham,2008,Number,15960
Buckingham,2009,Number,16080
Buckingham,2010,Number,17146
Buckingham,2011,Number,17278
Buena Vista,2000,Number,6349
Buena Vista,2001,Number,6344
Buena Vista,2002,Number,6280
Buena Vista,2003,Number,6374
Buena Vista,2004,Number,6362
Buena Vista,2005,Number,6352
Buena Vista,2006,Number,6345
Buena Vista,2007,Number,6247
Buena Vista,2008,Number,6259
Buena Vista,2009,Number,6222
Buena Vista,2010,Number,6650
Buena Vista,2011,Number,6636
Campbell,2000,Number,51078
Campbell,2001,Number,51246
Campbell,2002,Number,51397
Campbell,2003,Number,51392
Campbell,2004,Number,51419
Campbell,2005,Number,51920
Campbell,2006,Number,52411
Campbell,2007,Number,52529
Campbell,2008,Number,52874
Campbell,2009,Number,52976
Campbell,2010,Number,54842
Campbell,2011,Number,55032
Caroline,2000,Number,22121
Caroline,2001,Number,22137
Caroline,2002,Number,22496
Caroline,2003,Number,23037
Caroline,2004,Number,23770
Caroline,2005,Number,25267
Caroline,2006,Number,26462
Caroline,2007,Number,27289
Caroline,2008,Number,27699
Caroline,2009,Number,27870
Caroline,2010,Number,28545
Caroline,2011,Number,28674
Carroll,2000,Number,29245
Carroll,2001,Number,29364
Carroll,2002,Number,29221
Carroll,2003,Number,29149
Carroll,2004,Number,29236
Carroll,2005,Number,29103
Carroll,2006,Number,29221
