Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”,Name: “Table 1 of 1 on page 38 of 128”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2012,Report Period: 2012,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
06109,Marshall Rescue Squad,Marshall Rescue Squad,,,,,,,,,,,
Count,7,4,8,19,13,10,9,12,2,15,5,6,110
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,,,,,,,,,,
06110,,,,,,,,,,,,,
Count,22,40,17,37,10,68,52,44,44,54,39,43,470
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,1,0,1,1,0,0,1,1,0,5
06111,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,,,,,,,,,,
Count,13,15,14,17,18,21,21,9,8,22,12,8,178
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,3,0,0,2,1,1,1,1,2,3,15
06113,Lois Fire Dept,,,,,,,,,,,,
Count,19,29,45,36,29,49,29,16,22,33,29,35,371
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
Page 38 of 128,Page 38 of 128,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:31:50 EDT 2013,Thu Mar 14 07:31:50 EDT 2013
