Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”,Name: “Table 1 of 1 on page 78 of 128”
Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78,Table: 78
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2012,Report Period: 2012,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
,PATRICK-HENRY VOL. FIRE,PATRICK-HENRY VOL. FIRE,PATRICK-HENRY VOL. FIRE,,,,,,,,,,
14107,,,,,,,,,,,,,
,DEPT.,,,,,,,,,,,,
Count,27,42,20,30,28,25,40,36,25,34,24,10,341
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,2,5,3,1,0,3,1,2,5,4,0,27
14108,WOOLWINE VOL. FIRE DEPT.,WOOLWINE VOL. FIRE DEPT.,WOOLWINE VOL. FIRE DEPT.,,,,,,,,,,
Count,7,7,7,7,6,16,6,3,5,7,5,5,81
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,3,2,0,0,2,0,0,1,0,1,9
14109,FAIRYSTONE VOL. FIRE,FAIRYSTONE VOL. FIRE,,,,,,,,,,,
Count,9,1,1,2,3,1,1,2,2,2,1,5,30
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
14110,PATRICK SPRINGS FIRE,PATRICK SPRINGS FIRE,,,,,,,,,,,
Count,5,10,8,9,8,12,22,8,15,9,15,14,135
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,3,1,2,1,0,0,2,3,2,15
Page 78 of 128,Page 78 of 128,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:32:50 EDT 2013,Thu Mar 14 07:32:50 EDT 2013
