Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”,Name: “Table 1 of 1 on page 48 of 128”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2012,Report Period: 2012,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
08301,CLOVER VOL. FIRE DEPT.,CLOVER VOL. FIRE DEPT.,CLOVER VOL. FIRE DEPT.,,,,,,,,,,
Count,12,9,6,11,12,11,13,8,8,0,0,0,90
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,1,0,0,1,1,2,0,0,0,6
,CLUSTER SPRINGS VOL.,CLUSTER SPRINGS VOL.,CLUSTER SPRINGS VOL.,,,,,,,,,,
08302,,,,,,,,,,,,,
,FIRE DEPT,,,,,,,,,,,,
Count,11,15,21,13,4,7,11,6,11,11,12,8,130
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,2,4,2,1,1,2,3,0,1,1,0,1,18
08303,HALIFAX VOL. FIRE DEPT.,HALIFAX VOL. FIRE DEPT.,HALIFAX VOL. FIRE DEPT.,,,,,,,,,,
Count,11,14,15,17,20,18,20,16,18,10,22,17,198
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,15,9,5,5,3,1,6,10,9,5,3,9,80
08304,LIBERTY VOL. FIRE DEPT.,LIBERTY VOL. FIRE DEPT.,LIBERTY VOL. FIRE DEPT.,,,,,,,,,,
Count,1,0,1,0,0,0,0,0,0,3,2,0,7
Exposures,0,0,1,0,0,0,0,0,0,0,0,0,1
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,2,0,0,0,0,0,0,0,0,1,1,0,4
Page 48 of 128,Page 48 of 128,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:32:16 EDT 2013,Thu Mar 14 07:32:16 EDT 2013
