Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”,Name: “Table 1 of 1 on page 95 of 128”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2012,Report Period: 2012,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
16515,Bridgewater Fire Company,Bridgewater Fire Company,Bridgewater Fire Company,,,,,,,,,,
Count,86,62,47,97,69,121,76,76,86,34,73,45,872
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,9,10,1,9,8,8,13,11,8,2,3,8,90
16517,Cloverhill Fire and Rescue,Cloverhill Fire and Rescue,,,,,,,,,,,
Count,57,35,25,61,53,52,55,51,48,27,46,17,527
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,4,2,1,1,2,2,8,8,5,0,3,3,39
16520,Grottoes Fire Company,Grottoes Fire Company,,,,,,,,,,,
Count,58,56,47,46,62,96,77,61,60,13,77,55,708
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,8,2,1,9,3,3,9,7,6,1,2,5,56
16544,Hose Company No. 4,Hose Company No. 4,,,,,,,,,,,
Count,92,80,30,57,71,101,113,107,90,47,97,65,950
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,25,31,7,15,34,36,32,53,31,14,39,16,333
Page 95 of 128,Page 95 of 128,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:32:53 EDT 2013,Thu Mar 14 07:32:53 EDT 2013
