origin,pubdate,title,edition,geoform,citeinfo_Id,citation_Id,crossref_Id
"U.S. Geological Survey","2011","EAARL Coastal Topography--Assateague Island National Seashore, Maryland and Virginia, 2010","first","remote-sensing image",0,0,
"Nayegandhi, A., Brock, J.C., and Wright, C.W.","2009","Small footprint, waveform-resolving lidar estimation of submerged and subcanopy topography in coastal environments","","",1,,0
