Name,Zip code tabulation area,Perimeter,sum of Response,Lsad Trans,max of MMI,Lsad,Zt51 D00 I,Area,min of MMI,average of MMI,count,Zt51 D00 ,average of Response,latitude,longitude
23298,23298,0.015633551037406,1,5-Digit ZCTA,2.0,Z5,690.0,1.59129000000188e-05,2.0,2.0,1,691.0,1.0,37.539546,-77.4283045
22213,22213,0.0551171553654222,13,5-Digit ZCTA,3.2,Z5,80.0,0.000138087798999986,3.2,3.2,1,81.0,13.0,38.895724,-77.163265
22027,22027,0.0545592209637399,1,5-Digit ZCTA,2.7,Z5,81.0,0.000157499600000027,2.7,2.7,1,82.0,1.0,38.893411,-77.221353
22209,22209,0.0712142236733025,12,5-Digit ZCTA,3.1,Z5,84.0,0.000207222151645703,3.1,3.1,1,85.0,12.0,38.8922665,-77.0719911612627
24077,24077,0.11222325699813,1,5-Digit ZCTA,2.7,Z5,816.0,0.000319283295999839,2.7,2.7,1,817.0,1.0,37.3727265,-79.89817
22301,22301,0.0886202132793539,7,5-Digit ZCTA,2.0,Z5,121.0,0.000349400349999973,2.0,2.0,1,122.0,7.0,38.8185625,-77.060787
22305,22305,0.118491518544681,11,5-Digit ZCTA,2.0,Z5,115.0,0.000362053634499926,2.0,2.0,1,116.0,11.0,38.832248,-77.0632395
23219,23219,0.150115008113868,2,5-Digit ZCTA,2.2,Z5,685.0,0.000383689049471059,2.2,2.2,1,686.0,2.0,37.5398995,-77.4380395
22203,22203,0.128637489722751,14,5-Digit ZCTA,3.1,Z5,91.0,0.000415053869999904,3.1,3.1,1,92.0,14.0,38.874699,-77.121142
22311,22311,0.100013065472433,6,5-Digit ZCTA,2.0,Z5,113.0,0.000430875389999863,2.0,2.0,1,114.0,6.0,38.833662,-77.120539
22302,22302,0.163402190225202,6,5-Digit ZCTA,2.0,Z5,116.0,0.00058569861549973,2.0,2.0,1,117.0,6.0,38.8265625,-77.086489
24013,24013,0.109954746468686,4,5-Digit ZCTA,3.7,Z5,914.0,0.000586542134500379,3.7,3.7,1,915.0,4.0,37.265537,-79.922109
22303,22303,0.142682443589213,2,5-Digit ZCTA,2.0,Z5,131.0,0.000595889490742074,2.0,2.0,1,132.0,2.0,38.792711,-77.08405
22206,22206,0.160720341411404,9,5-Digit ZCTA,2.0,Z5,107.0,0.0006157447270001,2.0,2.0,1,108.0,9.0,38.8441805,-77.08855
22201,22201,0.158105679997632,34,5-Digit ZCTA,2.0,Z5,83.0,0.000630523943999872,2.0,2.0,1,84.0,34.0,38.886797,-77.0967855
22731,22731,0.157617700804791,3,5-Digit ZCTA,3.9,Z5,257.0,0.000668581046500138,3.9,3.9,1,258.0,3.0,38.337116,-78.261254
22044,22044,0.156368855727478,23,5-Digit ZCTA,3.4,Z5,96.0,0.000671835224413497,3.4,3.4,1,97.0,23.0,38.860079,-77.1531015
22041,22041,0.207377591492411,12,5-Digit ZCTA,3.0,Z5,106.0,0.000741306144086518,3.0,3.0,1,107.0,12.0,38.846662,-77.1425015
22205,22205,0.123227330684413,37,5-Digit ZCTA,3.0,Z5,85.0,0.000747712485499985,3.0,3.0,1,86.0,37.0,38.8821625,-77.141087
