wshd_code,wshd_name,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater,id,year
ACE,ACE Basin (Estuary),5503.4,10,7,8,13,416,38,7,88,1694,1204,NULL,24,NULL,236,2,NULL,155,191,1,2011
APA,Apalachicola Bay (Estuary),20479.7,30,15,72,170,1278,47,13,200,1006,3603,4,232,19,4,41,143,1202,133,2,2011
CBM,"Chesapeake Bay, MD (Estuary)",2754.6,10,8,14,24,67,9,2,72,122,287,NULL,25,NULL,2,4,1,406,37,3,2011
CBV,"Chesapeake Bay, VA (Estuary)",2673.7,4,1,1,6,190,4,1,20,44,360,2,19,30,8,2,5,86,20,4,2011
DEL,Delaware (Estuary),6734.1,32,65,112,143,370,54,40,572,1947,4781,33,394,193,34,75,28,2877,314,5,2011
ELK,Elkhorn Slough (Estuary),5761.3,6,8,8,51,32,3,NULL,28,47,570,NULL,18,NULL,NULL,2,12,233,8,6,2011
GND,Grand Bay (Estuary),1508.6,4,NULL,1,4,23,2,NULL,21,120,231,2,6,48,3,1,NULL,62,5,7,2011
GRB,Great Bay (Estuary),1024.1,3,4,4,17,88,7,2,37,58,369,1,38,22,NULL,3,12,146,18,8,2011
GTM,Guana Tolomato Matanzas (Estuary),16378.2,31,21,54,202,139,24,6,157,605,2172,NULL,155,116,4,27,10,1385,178,9,2011
HUD,Hudson River (Estuary),13447.2,21,79,85,195,804,22,22,533,549,4781,13,296,161,14,20,124,1813,206,10,2011
JAC,Jacques Cousteau (Estuary),1366.4,6,5,8,28,57,7,17,82,29,351,1,53,NULL,2,6,9,252,6,11,2011
JOB,Jobos Bay (Estuary),53.9,NULL,NULL,1,1,1,2,NULL,NULL,33,36,1,NULL,NULL,1,NULL,NULL,19,2,12,2011
KAC,Kachemak Bay (Estuary),4915.7,16,NULL,6,5,3,1,2,1,NULL,19,1,5,15,5,2,NULL,14,4,13,2011
MAR,Mission Aransas (Estuary),2680.1,4,1,4,8,8,1,1,12,40,340,1,11,63,NULL,NULL,1,47,15,14,2011
NAR,Narragansett Bay (Estuary),1840.3,10,27,31,55,342,25,32,111,602,1369,1,99,33,10,15,15,897,38,15,2011
NIW,North Inlet Winyah (Estuary),10926,25,15,29,83,519,53,14,120,3555,2690,1,86,19,627,8,7,433,810,16,2011
NOR,North Carolina (Estuary),10840.9,24,11,20,86,246,10,NULL,178,294,1183,2,108,63,41,6,6,492,2,17,2011
OWC,Old Woman Creek (Estuary),4142.5,25,6,18,47,115,5,NULL,109,498,2352,7,87,24,11,9,30,365,126,18,2011
PDB,Padilla Bay (Estuary),5406.6,11,6,6,17,89,10,NULL,45,154,611,8,23,75,1,5,4,224,22,19,2011
RKB,Rookery Bay (Estuary),1390.8,3,1,2,24,NULL,NULL,NULL,10,NULL,201,NULL,12,NULL,NULL,NULL,NULL,79,8,20,2011
SAP,Sapelo Island (Estuary),10236.9,15,3,18,65,607,11,7,78,132,1020,NULL,87,NULL,NULL,3,6,230,44,21,2011
SFB,SanFrancisco Bay (Estuary),7283.3,26,38,83,138,183,38,6,159,992,3703,15,199,174,12,44,128,2788,69,22,2011
SOS,South Slough (Estuary),737.7,1,2,1,12,10,NULL,NULL,8,9,19,NULL,2,44,2,NULL,NULL,17,3,23,2011
TJR,Tijuana River (Estuary),1720.1,2,3,NULL,NULL,4,NULL,NULL,3,4,68,NULL,4,NULL,NULL,NULL,1,33,1,24,2011
WEL,Wells (Estuary),336.8,1,NULL,2,4,17,1,NULL,17,12,37,NULL,8,NULL,NULL,1,1,32,5,25,2011
WKB,Weeks Bay (Estuary),4861.6,5,2,17,29,69,12,2,49,389,672,7,38,175,3,7,5,224,26,26,2011
WQB,Waquoit Bay (Estuary),438.5,6,5,3,19,13,1,3,19,3,91,NULL,17,NULL,1,1,NULL,83,NULL,27,2011
