End-of-Course Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Run on February 27, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Earth Science Proficient 2003,Earth Science Advanced 2003,Earth Science Passed 2003,Earth Science Proficient 2004,Earth Science Advanced 2004,Earth Science Passed 2004,Earth Science Proficient 2005,Earth Science Advanced 2005,Earth Science Passed 2005,Biology Proficient 2003,Biology Advanced 2003,Biology Passed 2003,Biology Proficient 2004,Biology Advanced 2004,Biology Passed 2004,Biology Proficient 2005,Biology Advanced 2005,Biology Passed 2005,Chemistry Proficient 2003,Chemistry Advanced 2003,Chemistry Passed 2003,Chemistry Proficient 2004,Chemistry Advanced 2004,Chemistry Passed 2004,Chemistry Proficient 2005,Chemistry Advanced 2005,Chemistry Passed 2005
All Students,65,8,73,59,11,71,61,14,75,70,12,82,71,9,80,67,12,79,75,9,84,74,12,86,71,15,86
Am Indian/Alaskan Native,63,6,69,61,9,70,66,11,77,73,11,85,75,10,85,67,10,78,72,4,76,78,8,86,73,11,84
Asian/Pacific Islander,71,8,79,62,12,75,65,17,82,72,14,86,74,11,84,67,16,83,73,13,86,70,19,88,67,20,87
Black,54,2,56,49,2,52,54,4,58,63,3,65,60,2,62,59,3,62,66,3,69,69,4,73,69,5,73
Hispanic,57,3,60,50,5,55,55,6,61,63,4,67,62,3,65,56,4,60,66,4,70,65,6,71,65,6,71
White,71,12,83,66,17,82,64,21,85,74,16,90,76,13,89,71,17,88,78,11,89,76,14,90,73,18,90
Native Hawaiian,.,.,.,69,8,77,66,12,78,.,.,.,76,6,82,70,14,84,.,.,.,80,5,85,74,19,93
Race Unknown,54,6,61,45,8,53,58,10,68,67,10,77,64,9,73,65,12,77,71,8,79,67,14,81,68,19,87
Female,65,6,70,59,8,67,61,11,72,71,10,81,71,8,79,67,10,78,75,8,83,75,10,85,73,12,85
Male,65,11,76,60,15,75,60,19,79,69,14,83,70,11,81,66,14,80,74,11,86,72,15,87,69,18,87
Gender Unknown,35,2,37,27,2,29,22,.,22,47,9,56,41,2,43,46,2,48,84,.,84,90,10,100,50,11,61
Students with Disabilities,46,3,49,43,3,46,46,5,51,54,3,57,52,2,54,48,3,51,56,3,59,57,4,61,57,5,62
Limited English Proficient,41,1,42,38,2,40,47,3,49,53,2,54,56,2,57,50,3,53,62,4,67,64,8,72,60,7,67
