Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”,Name: “Table 1 of 1 on page 6 of 7”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,,,,,,
"Oct 15, 2012 01:28 PM","Oct 15, 2012 01:28 PM",Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,Virginia Department of Education,,,,,,,,,Page No: 6 of,Page No: 6 of,Page No: 6 of,7
,,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,2011-2012 Gifted Annual Report for All Divisions,,,,,,,,,,,
Number of Divisions using each Program Model,Number of Divisions using each Program Model,,,,,,,,,,,,,,,,,
,,General Intellectual,General Intellectual,General Intellectual,General Intellectual,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Specific Academic Aptitude Visual/Performing Arts only,Tech/Prac Arts only,Tech/Prac Arts only,Tech/Prac Arts only,Tech/Prac Arts only,
,,,Aptitude only,Aptitude only,,,only,only,,,,,,,,,,
,,K-2,G3-5,G6-8,G9-12,K-2,G3-5,G6-8,G9-12,K-2,G3-5,G6-8,G9-12,K-2,G3-5,G6-8,G9-12,G9-12
Guidance Services Addressing Special Needs of the Gifted,Guidance Services Addressing Special Needs of the Gifted,,,,,,,,,,,,,,,,,
- College/career counseling - group counseling,- College/career counseling - group counseling,17,33,78,101,9,14,44,58,3,5,17,23,1,1,1,3,
- Specific counseling addressing giftedness issues - individual,- Specific counseling addressing giftedness issues - individual,47,56,68,77,26,31,41,44,8,10,18,21,2,2,2,2,
- Specific counseling addressing giftedness issues - group,- Specific counseling addressing giftedness issues - group,24,34,44,43,12,14,20,20,4,5,9,8,2,2,2,2,
Independent Study,Independent Study,,,,,,,,,,,,,,,,,
- Credit,,1,2,8,56,1,2,6,36,,1,2,11,,,,,
- Non-credit,,9,12,20,31,7,8,13,22,,3,7,9,,,,,
International,Baccalaureate,1,2,8,16,1,1,5,11,,,2,6,,,,1,
Mentorship Program,Mentorship Program,3,4,6,37,3,3,3,26,,,,7,,,,1,
Instruction by Resource Teacher for the Gifted,Instruction by Resource Teacher for the Gifted,,,,,,,,,,,,,,,,,
- Pull-out enrichment instruction,- Pull-out enrichment instruction,76,88,55,14,39,42,29,9,3,7,7,2,1,1,1,1,
- Collaborative services or co-teaching,- Collaborative services or co-teaching,57,60,47,31,32,35,31,21,1,3,4,7,2,2,2,2,
- Other,,9,10,16,14,5,9,11,7,1,2,4,3,,,,,
Special Seminars,Special Seminars,,,,,,,,,,,,,,,,,
- Credit,,1,1,4,14,,,2,8,,,,1,,,,,
- Non-credit,,8,10,22,29,4,6,14,19,1,2,5,8,,,,,
Enrichment services,Enrichment services,,,,,,,,,,,,,,,,,
- Saturday Enrichment Programs,- Saturday Enrichment Programs,13,21,18,9,6,12,10,9,1,1,2,4,,,,,
- Summer Enrichment Programs,- Summer Enrichment Programs,24,49,50,26,19,31,31,20,4,8,9,7,1,1,,,
Summer Residential Governor's School,Summer Residential Governor's School,,,,99,,,,65,,,,31,,,,1,
Summer Regional Governor's School,Summer Regional Governor's School,1,30,63,54,1,14,33,31,,3,8,8,,,,,
Talent Pool,,37,17,13,9,22,17,12,8,4,4,5,3,1,1,1,1,
