RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
52,BACKYARD GRILL,52680,7421 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,AL,OC,5/31/2011,N,6/7/2011,,,7/22/2011,," $ 1,500.00 ",,,,,SERVER TO ATTEND RSVP
103,CHIPOTLE MEXICAN GRILL,51842,7311 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,Y,AL,OC,5/31/2011,Y,6/7/2011,,,9/7/2011,," $ 3,000.00 ",,,,,
326,FLOWER GALLERY,59379,8351 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,AL,OC,10/14/2011,N,11/9/2011,,,12/16/2011,25,,,,,,TO START 1-3-12
334,7 ELEVEN STORE 2554-30486 B,66564,8002 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,AL,CS,10/14/2011,N,11/14/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
526,AFTER LIFE 360,53599,"8090 SUDLEY RD, SUITE 8092",MANASSAS,VA,20109,UAB,1,N,AL,CS,2/6/2012,N,2/13/2012,,,4/5/2012,," $ 2,000.00 ",,,,,
592,SUMO JAPANESE STEAKHOUSE,61488,8359 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,AL,CS,4/14/2012,N,4/23/2012,,,5/24/2012,," $ 2,000.00 ",,,,,
47,7 ELEVEN STORE 2581-2/8505 B,52547,8498 EUCLID AVENUE,MANASSAS PARK,VA,20111,UAB,1,N,AL,CS,6/23/2011,N,6/28/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
365,MARSHALL IGA,32601,8382 E MAIN STREET,MARSHALL,VA,20115,UAB,1,Y,ST,CS,11/22/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
85,ALTO PLAZA,49494,5800 OLD CENTREVILLE ROAD,CENTREVILLE,VA,20121,"UAB, FAILED TO SUBMIT COMPLETE & ACCURATE ANNUAL REVIEW REPORT, KEEP UNAUTHORIZED ALCOHOLIC BEVERAGES ",3,N,AL,AH,8/24/2009,Y,10/1/2009,4/26/2010,6/30/2010,8/10/2011,," $ 2,500.00 ",,,,Y,ALL CHGS. DISMISSED  - SETTLEMENT OFFER
620,BREAUX VINEYARDS,77451,3688 BREAUX VINEYARDS LANE,PURCEVILLE,VA,20132,UAB,1,N,AL,AH,10/28/2011,Y,11/30/2011,2/15/2012,3/26/2012,6/7/2012,,,,,,,FINAL DISPOSITION DEFERRED FOR 12 MOS.
21,ANOTHAI RESTAURANT,45841,"43170 SOUTHERN WALK PLAZA, SUITE 106",ASHBURN,VA,20148,UAB,1,N,AL,CS,6/6/2011,N,6/17/2011,,,7/19/2011,," $ 2,000.00 ",,,,,
375,7 ELEVEN STORE 2581-10657A,67997,1111 ELDEN ST,HERNDON,VA,20170,UAB,1,N,AL,CS,12/7/2011,N,12/21/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
412,TURCUISINE,34659,13029 WORLDGATE DRIVE,HERNDON,VA,20170,UAB,1,N,AL,CS,12/7/2011,N,12/27/2011,,,1/20/2012,," $ 2,000.00 ",,,,,
413,CARPOOL,13043,"208 ELDEN STREET, SUITE 100",HERNDON,VA,20170,UAB,1,N,AL,CS,12/7/2011,N,12/21/2011,,,1/20/2012,," $ 2,000.00 ",,,,,
462,THREE THAI SUSHI RESTAURANT,48899,410 ELDEN STREET,HERNDON,VA,20170,UAB,1,N,AL,OC,12/7/2011,N,12/21/2011,,,2/15/2012,25,,,,,,
385,FIREWORKS,44328,201B HARRISON STREET SE,LEESBURG,VA,20175,UAB,1,N,AL,CS,11/1/2011,N,12/6/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
181,BUFFALO WI8LD WINGS GRILL & BAR,66231,524 FORT EVANS ROAD,LEESBURG,VA,20176,UAB,1,N,AL,CS,6/15/2011,N,6/28/2011,,,10/27/2011,," $ 2,000.00 ",,,,,
379,7 ELEVEN STORE 2581-34371,64889,700 FIELDSTONE DRIVE NE,LEESBURG,VA,20176,UAB,1,N,AL,CS,11/1/2011,N,11/29/2011,,,1/9/2012,," $ 2,000.00 ",,,,,
419,LOST CREEK VINEYARD & WINERY,13985,43277 SPINKS FERRY ROAD,LEESBURG,VA,20176,UAB,1,N,AL,CS,10/28/2011,N,11/14/2011,,,1/23/2012,," $ 2,000.00 ",,,,,
426,THE TOWN DUCK OF WARRENTON,51876,100 MAIN STREET,WARRENTON,VA,20186,UAB,1,N,ST,OC,11/22/2011,N,12/6/2011,,,1/24/2012,," $ 1,000.00 ",,,,,
342,C J SPITONYS,30905,5063 LEE HIGHWAY,WARRENTON,VA,20187,UAB,1,Y,ST,CS,11/22/2011,N,12/6/2011,,,1/3/2012,25,,,,,,
619,SILVERADO,74272,7052 COLUMBIA PIKE,ANNANDALE,VA,22003,UAB,1,N,AL,AH,8/25/2011,N,12/22/2011,1/20/2012,3/1/2012,6/7/2012,,"$1,500.00 ",,,,,RSVP TRAINING WITHIN 12 MOS. OF BD. ORDER
143,DOLCE VITA,72017,10824 FAIRFAX BOULEVARD,FAIRFAX,VA,22030,UAB,1,N,AL,CS,8/25/2011,N,9/15/2011,,,10/11/2011,," $ 2,000.00 ",,,,,
163,SEOUL HOUSE RESTAURANT,52320,11272 JAMES SWART CIRCLE,FAIRFAX,VA,22030,UAB,1,N,AL,CS,9/19/2011,N,9/28/2011,,,10/19/2011,25,,,,,,
64,BJs WHOLESALE CLUB 33,77809,13053 FAIR LAKES SHOPPING CENTER,FAIRFAX,VA,22033,UAB,1,N,AL,CS,6/30/2011,N,7/7/2011,,,8/1/2011,," $ 2,000.00 ",,,,,
130,MIU KEE RESTAURANT,5574,6653 ARLINGTON BLVD,FALLS CHURCH,VA,22042,UAB; LICENSEE FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,Y,AL,IH,5/17/2011,N,6/1/2011,7/21/2011,8/19/2011,9/28/2011,25," $ 2,000.00 ",,6,,,
400,PHO XE LUA THANH THANH RESTAURANT,55228,6765A WILSON BLVD. SUITE 23,FALLS CHURCH,VA,22044,UAB,1,N,AL,IH,8/17/2011,N,9/23/2011,10/27/2011,11/30/2011,1/18/2012,25," $ 2,000.00 ",,,,,
193,BAY LO RESTAURANT,7504,"6757 WILSON BOULEVARD, SUITE 21",FALLS CHURCH,VA,22044,UAB,1,N,AL,CS,8/11/2011,N,9/6/2011,,,11/4/2011,, $ 500.00 ,,,,,
136,ARGIAS ITALIAN RESTAURANT,8193,124 N WASHINGTON ST,FALLS CHURCH,VA,22046,UAB,1,N,AL,IH,5/17/2011,N,5/31/2011,7/21/2011,8/26/2011,9/30/2011,25," $ 2,000.00 ",,,,,
