wshd_code,wshd_name,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater,id,year
ACE,ACE Basin (Target),513.5,NULL,NULL,NULL,NULL,3,NULL,NULL,5,37,17,NULL,2,NULL,10,NULL,NULL,4,3,1,2011
APA,Apalachicola Bay (Target),3278,3,3,5,17,21,3,1,22,13,253,NULL,15,4,NULL,NULL,NULL,62,15,2,2011
CBM1,"Chesapeake Bay, MD - Bush (Target)",153.1,NULL,1,1,1,3,1,NULL,4,18,65,NULL,3,NULL,NULL,NULL,NULL,34,2,3,2011
CBM2,"Chesapeake Bay, MD - Nanticoke (Target)",238.4,1,2,3,9,11,1,NULL,5,25,21,NULL,4,NULL,NULL,NULL,1,35,3,4,2011
CBV1,"Chesapeake Bay, VA - Catlett (Target)",51.9,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,7,NULL,NULL,1,NULL,NULL,NULL,1,NULL,5,2011
CBV2,"Chesapeake Bay, VA - Goodwin (Target)",36.7,NULL,NULL,NULL,NULL,NULL,1,NULL,1,10,3,NULL,NULL,21,NULL,NULL,NULL,3,NULL,6,2011
CBV3,"Chesapeake Bay, VA - Sweethall (Target)",50.2,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,20,3,NULL,NULL,5,NULL,NULL,NULL,NULL,1,7,2011
CBV4,"Chesapeake Bay, VA - Taskinas (Target)",40.1,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,8,2011
DEL1,Delaware - Bbird (Target),31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2011
DEL2,Delaware - Stjones (Target),90.1,NULL,4,1,5,5,2,NULL,3,36,25,NULL,4,NULL,NULL,NULL,NULL,49,NULL,10,2011
ELK,Elkhorn Slough (Target),69.4,NULL,NULL,NULL,1,NULL,1,NULL,NULL,3,13,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,11,2011
GND,Grand Bay (Target),78.5,NULL,NULL,1,NULL,NULL,1,NULL,1,74,29,1,NULL,20,1,NULL,NULL,13,NULL,12,2011
GRB,Great Bay (Target),239.1,2,2,1,7,20,3,NULL,13,22,151,1,14,22,NULL,2,6,50,8,13,2011
GTM,Guana Tolomato Matanzas (Target),355.9,1,1,1,8,NULL,NULL,NULL,3,15,57,NULL,5,NULL,1,NULL,NULL,50,11,14,2011
HUD1,Hudson River - Iona (Target),58.3,NULL,1,2,NULL,11,4,NULL,20,15,36,NULL,4,13,NULL,1,2,20,3,15,2011
HUD2,Hudson River - Piermont (Target),58.1,NULL,2,2,1,2,NULL,1,16,11,104,NULL,15,8,NULL,1,3,81,4,16,2011
HUD3,Hudson River - Stockpt (Target),518.7,1,NULL,NULL,2,24,NULL,NULL,23,6,218,NULL,5,NULL,NULL,NULL,2,25,6,17,2011
HUD4,Hudson River - Tivoli (Target),47.4,1,NULL,NULL,NULL,4,NULL,NULL,1,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,8,1,18,2011
JAC,Jacques Cousteau (Target),357.9,1,NULL,NULL,10,7,3,5,12,NULL,86,NULL,11,NULL,NULL,1,NULL,35,3,19,2011
JOB,Jobos Bay (Target),7.7,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,20,2011
NIW,North Inlet Winyah (Target),212.4,1,1,1,1,9,NULL,1,3,192,25,NULL,1,14,24,NULL,NULL,11,69,21,2011
NOR1,North Carolina - Carson (Target),790.9,2,1,1,6,1,1,NULL,21,1,59,NULL,11,21,7,NULL,NULL,31,NULL,22,2011
NOR2,North Carolina - Currituck (Target),3736.1,9,2,1,20,1,3,NULL,35,15,214,1,32,NULL,18,NULL,NULL,103,2,23,2011
NOR3,North Carolina - Masonboro (Target),618.8,1,3,4,9,1,NULL,NULL,18,2,61,NULL,9,NULL,3,1,NULL,56,NULL,24,2011
NOR4,North Carolina - Zekes (Target),1041.7,2,NULL,4,24,25,3,NULL,22,139,109,1,15,30,3,1,NULL,43,NULL,25,2011
OWC,Old Woman Creek (Target),26.5,NULL,NULL,NULL,1,NULL,NULL,NULL,2,NULL,15,NULL,1,NULL,NULL,NULL,NULL,2,2,26,2011
PDB,Padilla Bay (Target),406.9,1,1,2,4,11,3,NULL,9,34,138,4,5,21,NULL,2,NULL,48,4,27,2011
RKB,Rookery Bay (Target),304.6,NULL,NULL,NULL,4,NULL,NULL,NULL,1,NULL,55,NULL,5,NULL,NULL,NULL,NULL,14,1,28,2011
SAP,Sapelo Island (Target),541.6,NULL,NULL,NULL,2,NULL,NULL,NULL,2,4,40,NULL,2,NULL,NULL,NULL,NULL,7,NULL,29,2011
SFB1,San Francisco Bay - Chinacamp (Target),44.1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,38,NULL,3,NULL,NULL,NULL,NULL,24,NULL,30,2011
SFB2,San Francisco Bay - Rushranch (Target),146.1,1,1,2,NULL,2,NULL,NULL,5,29,61,NULL,5,NULL,NULL,2,NULL,46,1,31,2011
SOS,South Slough (Target),31.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,1,NULL,NULL,12,NULL,NULL,NULL,1,NULL,32,2011
TJR,Tijuana River (Target),95.1,2,3,NULL,NULL,NULL,NULL,NULL,1,4,30,NULL,2,NULL,NULL,NULL,NULL,22,1,33,2011
WEL,Wells (Target),64.9,1,NULL,NULL,NULL,1,NULL,NULL,1,7,18,NULL,1,NULL,NULL,1,1,3,1,34,2011
WKB,Weeks Bay (Target),202.4,2,NULL,1,2,6,NULL,NULL,7,7,45,NULL,3,NULL,NULL,NULL,NULL,11,1,35,2011
WQB,Waquoit Bay (Target),77,2,NULL,NULL,2,8,NULL,NULL,2,NULL,5,NULL,1,NULL,NULL,NULL,NULL,8,NULL,36,2011
