Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”,Name: “Table 1 of 1 on page 7 of 13”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,
,,Virginia Violent Crime,Virginia Violent Crime,,
"Number of Violent Offenses and Arrests Reported by Offense Type and Month,","Number of Violent Offenses and Arrests Reported by Offense Type and Month,","Number of Violent Offenses and Arrests Reported by Offense Type and Month,","Number of Violent Offenses and Arrests Reported by Offense Type and Month,","Number of Violent Offenses and Arrests Reported by Offense Type and Month,",
1Q 2011 and 2012,,,,,
All 2012 counts are preliminary and will be finalized March 2013,All 2012 counts are preliminary and will be finalized March 2013,,,,
,,Aggravated Assault,,,
Aggravated Assault Offenses,Aggravated Assault Offenses,,Aggravated Assault Arrests,Aggravated Assault Arrests,
800,,400,,,
700,,350,,,
600,,300,,,
500,,250,,,
400,,200,,,
300,,150,,,
200,,100,,,
100,,50,,,
0,,0,,,
Jan,Feb,Mar,Jan,Feb,Mar
,2011,2012,2011,,2012
2011 total:,"2,016",,2011 total:,2011 total:,947
2012 total:,"1,911",,2012 total:,2012 total:,910
Percent change:,-5.2%,,Percent change:,Percent change:,-3.9%
"Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police",,,
"Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Research Center, http://www.dcjs.virginia.gov/research/",
,,,,,5 of 10
