Virginia Carbon Dioxide Emissions from Fossil Fuel Consumption (1980 - 2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Million Metric Tons of CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,,4.0,3.0,2.8,3.1,4.4,4.3,4.4,4.5,4.8,4.3,3.5,3.3,3.4,3.3,3.3,3.3,3.7,3.6,3.5,3.3,3.8,3.5,3.1,3.5,3.8,3.6,3.0,2.9,2.6,2.3,2.4
,Natural Gas,,2.9,2.8,2.6,2.6,2.8,2.7,2.8,3.1,3.2,3.4,2.8,3.0,3.4,3.6,3.6,3.8,4.2,4.1,3.5,3.8,4.4,3.9,4.1,4.7,4.5,4.7,3.9,4.5,4.4,4.6,4.8
,Total,,7.1,5.8,5.6,5.8,7.3,7.1,7.4,7.7,8.2,7.8,6.4,6.3,6.9,7.1,7.0,7.1,8.0,7.7,7.0,7.2,8.2,7.4,7.2,8.2,8.3,8.4,6.9,7.3,7.0,6.9,7.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,,0.3,0.2,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.4,0.4,0.3,0.4,0.6,0.6,0.6,0.8,0.4,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.2,0.2
,Petroleum Products,,1.2,1.1,1.1,1.8,2.0,1.8,2.2,2.2,1.9,1.7,1.7,1.5,1.5,1.5,1.5,1.6,2.0,1.8,1.8,1.7,2.1,1.8,1.4,2.0,1.9,1.7,1.5,1.3,1.1,1.0,1.1
,Natural Gas,,2.1,1.9,2.1,2.1,1.9,1.9,2.0,2.2,2.3,2.4,2.3,2.4,2.8,2.9,2.9,3.1,3.3,3.4,3.2,3.4,3.6,3.3,3.4,3.5,3.5,3.6,3.4,3.7,3.7,3.7,3.7
,Total,,3.6,3.3,3.7,4.4,4.5,4.2,4.6,4.9,4.8,4.5,4.4,4.2,4.6,5.0,5.1,5.3,6.1,5.6,5.4,5.4,5.9,5.4,5.0,5.7,5.6,5.6,5.0,5.1,4.9,4.9,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
,Petroleum Products,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
,Natural Gas,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
,Total,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,,33.9,33.9,32.5,33.5,33.8,35.3,37.1,39.7,41.9,40.4,41.0,40.1,39.9,40.8,41.4,42.1,42.3,43.7,44.5,45.3,48.0,48.0,48.2,49.7,54.1,55.1,56.4,56.5,52.6,50.3,50.1
,Natural Gas,,0.4,0.6,0.6,0.4,0.4,0.2,0.3,0.4,0.5,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.6
,Total,,34.4,34.4,33.1,33.9,34.1,35.5,37.4,40.1,42.4,40.7,41.4,40.5,40.3,41.1,41.7,42.4,42.8,44.2,44.9,45.7,48.4,48.4,48.6,50.1,54.4,55.4,56.7,56.9,53.1,50.8,50.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,,13.0,15.2,15.5,15.6,17.4,17.3,17.7,20.0,20.4,24.9,21.8,22.8,24.3,27.5,25.2,27.1,30.9,32.1,32.8,33.8,39.0,37.0,37.0,35.0,34.4,34.8,33.3,35.3,31.3,25.3,25.6
,Petroleum Products,,7.6,3.4,1.6,1.3,1.3,0.8,2.4,2.3,2.1,3.3,0.9,1.6,1.3,1.8,2.0,1.1,0.8,1.6,2.2,2.4,2.1,3.9,2.8,4.4,4.0,3.3,0.6,1.5,0.9,0.8,1.0
,Natural Gas,,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.1,0.2,0.5,0.9,1.3,2.2,2.2,2.5,1.7,1.1,2.1,2.3,2.0,1.8,1.9,1.9,2.7,3.7,3.3,4.9,4.2,5.2,7.7
,Total,,20.7,18.7,17.3,17.2,18.8,18.1,20.2,22.3,22.6,28.5,23.2,25.3,26.9,31.5,29.4,30.6,33.4,34.7,37.0,38.5,43.1,42.6,41.7,41.3,41.0,41.8,37.2,41.8,36.5,31.3,34.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
Petroleum Products,,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
Natural Gas,,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
Total,,,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse,#ERROR!:parse
