Park:Cumberland Gap National Historical Park	36.64536	-83.56019		Park:Cumberland Gap National Historical Park
Park:Stone Mountain Park	36.75592	-83.19656		Park:Stone Mountain Park
Park:Vardy School Community Historic District	36.57814	-83.18184		Park:Vardy School Community Historic District
Park:Jonesville Park	36.69564	-83.11350		Park:Jonesville Park
Park:Leeman Field	36.76898	-83.02850		Park:Leeman Field
Park:Kingdom Come State Park	36.99676	-82.97877		Park:Kingdom Come State Park
Theater:Coal Miners Memorial Theater	36.96403	-82.95189		Theater:Coal Miners Memorial Theater
Park:Coal Miners Memorial Park	36.96384	-82.95182		Park:Coal Miners Memorial Park
Park:Hensley-Pine Mountain Wildlife Management Area	37.05426	-82.84988	- 	Park:Hensley-Pine Mountain Wildlife Management Area
Park:Bullit Park	36.86676	-82.78155		Park:Bullit Park
Park:Natural Tunnel State Park	36.69954	-82.74016		Park:Natural Tunnel State Park
Park:Mount Carmel Park	36.55065	-82.67988		Park:Mount Carmel Park
Park:High Knob Recreation Area	36.88760	-82.61405		Park:High Knob Recreation Area
Park:Bays Mountain Park	36.50816	-82.61156		Park:Bays Mountain Park
Park:Eastman Recreation Area	36.50149	-82.60682		Park:Eastman Recreation Area
Park:Centennial Boat Yard Park	36.55066	-82.59182		Park:Centennial Boat Yard Park
Park:Glades Wildlife Management Area	36.88427	-82.59016		Park:Glades Wildlife Management Area
Park:Riverfront Park	36.55066	-82.58876		Park:Riverfront Park
Park:R P Kane Athletic Field	36.64121	-82.57543		Park:R P Kane Athletic Field
Park:Cloud Park	36.55205	-82.57015		Park:Cloud Park
Park:J Fred Johnson Park	36.53371	-82.52709		Park:J Fred Johnson Park
Park:Anderson Block House Monument	36.60760	-82.51376		Park:Anderson Block House Monument
Park:Warriors Path State Park	36.49149	-82.48376		Park:Warriors Path State Park
Park:Breaks Interstate Park	37.29039	-82.29487		Park:Breaks Interstate Park
Park:Steele Creek Park	36.57566	-82.21458		Park:Steele Creek Park
Park:Randolph Field	36.60149	-82.19819		Park:Randolph Field
Park:Patterson Park	36.58538	-82.18958		Park:Patterson Park
Park:Haynesfield Park	36.57066	-82.18847		Park:Haynesfield Park
Park:Bristol Municipal Stadium	36.58261	-82.18319		Park:Bristol Municipal Stadium
Park:Anderson Park	36.59122	-82.18152		Park:Anderson Park
Park:Rotary Park	36.58955	-82.17652		Park:Rotary Park
Park:Parker Park	36.58872	-82.17208		Park:Parker Park
Park:Defriece Park	36.57844	-82.17180		Park:Defriece Park
Park:Mumpower Park	36.60733	-82.17097		Park:Mumpower Park
Park:Eastern Park	36.61205	-82.16680		Park:Eastern Park
Park:Holston View Park	36.58066	-82.14291		Park:Holston View Park
Park:Cherokee Purchase Unit	36.55455	-82.07457		Park:Cherokee Purchase Unit
Park:Cedar Creek Park	36.90983	-82.06235		Park:Cedar Creek Park
Park:Cherokee Wildlife Management Area	36.51733	-82.04068		Park:Cherokee Wildlife Management Area
Park:Observation Park	36.57733	-82.03902		Park:Observation Park
Park:Kettlefoot Wildlife Management Area	36.52511	-81.98318		Park:Kettlefoot Wildlife Management Area
Park:Overmountain Victory National History Trail	36.70960	-81.97740		Park:Overmountain Victory National History Trail
Park:Abington Historic District	36.70983	-81.97735		Park:Abington Historic District
