Grade 8 - All Subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Run on February 27, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,English Proficient 2003,English Advanced 2003,English Passed 2003,English Proficient 2004,English Advanced 2004,English Passed 2004,English Proficient 2005,English Advanced 2005,English Passed 2005,Math Proficient 2003,Math Advanced 2003,Math Passed 2003,Math Proficient 2004,Math Advanced 2004,Math Passed 2004,Math Proficient 2005,Math Advanced 2005,Math Passed 2005,History Proficient 2003,History Advanced 2003,History Passed 2003,History Proficient 2004,History Advanced 2004,History Passed 2004,History Proficient 2005,History Advanced 2005,History Passed 2005,Science Proficient 2003,Science Advanced 2003,Science Passed 2003,Science Proficient 2004,Science Advanced 2004,Science Passed 2004,Science Proficient 2005,Science Advanced 2005,Science Passed 2005
All Students,52,16,67,49,23,72,52,23,76,56,17,73,56,21,78,57,21,78,66,14,80,53,29,83,54,27,81,58,26,84,60,28,88,59,28,87
Am Indian/Alaskan Native,49,11,60,47,20,67,47,24,71,56,11,67,51,18,69,58,17,75,68,9,77,53,26,79,55,19,74,60,19,80,62,27,89,58,29,87
Asian/Pacific Islander,55,19,74,52,33,85,54,33,87,54,36,89,47,46,92,48,44,92,69,21,90,50,40,90,54,33,87,57,35,92,55,40,95,57,36,93
Black,44,5,49,46,9,55,51,10,61,52,5,57,57,7,64,57,7,64,61,5,66,60,15,74,57,13,69,60,8,68,67,9,76,65,10,75
Hispanic,43,7,50,50,12,63,54,13,67,55,10,65,58,12,70,57,12,69,62,8,70,54,18,71,54,14,67,60,14,75,67,14,81,63,14,77
White,56,21,76,51,28,79,53,30,82,58,21,79,57,27,84,58,26,84,68,18,86,51,37,87,53,34,87,57,34,90,57,36,93,56,36,92
Native Hawaiian,.,.,.,45,17,62,50,24,75,.,.,.,54,19,73,72,12,84,.,.,.,67,.,67,29,57,86,.,.,.,77,12,88,71,19,89
Ethnicity Unknown,45,15,60,44,23,68,50,26,76,48,18,66,49,23,72,51,27,77,65,14,79,55,24,78,59,17,77,57,26,84,60,29,89,57,31,88
Female,53,17,70,51,25,76,54,26,80,59,17,76,60,21,81,61,20,81,67,12,78,57,26,83,57,23,80,61,23,83,64,24,88,62,25,86
Male,50,15,65,48,20,68,51,21,72,53,17,70,53,22,75,55,21,76,65,17,81,50,33,83,52,30,81,55,29,84,56,32,88,57,31,87
Gender Unknown,22,3,26,29,9,38,31,10,42,34,5,38,42,11,53,36,9,45,36,8,44,31,31,62,41,6,47,55,13,68,64,5,68,49,14,63
Students with Disabilities,25,2,27,27,4,31,31,4,35,30,2,32,33,4,37,35,4,39,48,4,52,45,10,55,44,8,51,51,7,58,55,9,64,53,9,61
Limited English Proficient,31,3,35,46,10,56,53,11,64,52,12,64,51,16,67,51,17,68,58,4,62,52,9,60,46,7,53,57,8,65,65,11,75,61,11,72
