Name: “Table 1 of 1 on page 81 of 110”,Name: “Table 1 of 1 on page 81 of 110”,Name: “Table 1 of 1 on page 81 of 110”,Name: “Table 1 of 1 on page 81 of 110”,Name: “Table 1 of 1 on page 81 of 110”,Name: “Table 1 of 1 on page 81 of 110”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,
,"§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and"
,,evaluation.,evaluation.,,
,Please Note:,The accreditation ratings are for school year 2012-2013.,The accreditation ratings are for school year 2012-2013.,The accreditation ratings are for school year 2012-2013.,The
,accreditation ratings for school year 2013-2014 will be reported in the 2014 annual,accreditation ratings for school year 2013-2014 will be reported in the 2014 annual,accreditation ratings for school year 2013-2014 will be reported in the 2014 annual,accreditation ratings for school year 2013-2014 will be reported in the 2014 annual,accreditation ratings for school year 2013-2014 will be reported in the 2014 annual
,,,report.,,
,,2012-2013,,2009-2010,2009-2010
,,,2011-2012,2010-2011,
,,Was,,,Was
Requirement,School Division,,Was Division,Was Division,
,,Division,,Division,Division
,,,Compliant?,Compliant?,
,,Compliant?,,Compliant?,Compliant?
All schools are fully accredited by the Board of,,,,,
,Alexandria City,No,No,No,No
Education.,,,,,
All schools are fully accredited by the Board of,,,,,
Education.,Amherst County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Arlington County,No,No,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Bedford County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Bristol City,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Brunswick County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Buchanan County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Buena Visa City,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Campbell County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Carroll County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
,Charles City,,,,
Education.,,No,Yes,Yes,Yes
,County,,,,
All schools are fully accredited by the Board of,,,,,
Education.,Covington City,No,No,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Danville City,No,Yes,No,No
All schools are fully accredited by the Board of,,,,,
Education.,Dinwiddie County,No,No,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Essex County,No,Yes,Yes,Yes
All schools are fully accredited by the Board of,,,,,
Education.,Franklin City,No,Yes,Yes,Yes
,,,,80,
