Name: “Table 1 of 1 on page 83 of 110”,Name: “Table 1 of 1 on page 83 of 110”,Name: “Table 1 of 1 on page 83 of 110”,Name: “Table 1 of 1 on page 83 of 110”,Name: “Table 1 of 1 on page 83 of 110”,Name: “Table 1 of 1 on page 83 of 110”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,
,"§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation.","§ 22.1-253.13:3 – Standard 3. Accreditation, other standards and evaluation."
,Please Note:,The accreditation ratings are for school year 2012-2013.,The accreditation ratings are for school year 2012-2013.,The accreditation ratings for,The accreditation ratings for
,,school year 2013-2014 will be reported in the 2014 annual report.,school year 2013-2014 will be reported in the 2014 annual report.,school year 2013-2014 will be reported in the 2014 annual report.,
,,2012-2013,2011-2012,2010-2011,2009-2010 Was
Requirement,School Division,Was Division,Was Division,Was Division,Division
,,Compliant?,Compliant?,Compliant?,Compliant?
All schools are fully accredited by,,,,,
the Board of Education,Page County,No,No,No,Yes
All schools are fully accredited by,,,,,
the Board of Education,Petersburg City,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education,Portsmouth City,No,No,No,Yes
All schools are fully accredited by,,,,,
the Board of Education,Prince William County,No,No,Yes,No
All schools are fully accredited by,,,,,
the Board of Education,Richmond City,No,No,Yes,No
All schools are fully accredited by,,,,,
the Board of Education,Roanoke City,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education,Southampton County,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education,Staunton City,No,Yes,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education,Suffolk City,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education,Sussex County,No,No,No,No
All schools are fully accredited by,,,,,
the Board of Education,Tazewell County,No,No,Yes,Yes
All schools are fully accredited by,,,,,
the Board of Education,Virginia Beach City,No,No,Yes,Yes
,,,,,82
