Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”,Name: “Table 1 of 1 on page 125 of 179”
Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Bernalillo,10,0,0,3.3,F,7,1,0,2.8,D,6.5,PASS
Chaves,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
Doña Ana,8,0,0,2.7,D,24,9,0,12.5,F,13.5,FAIL
Eddy,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Grant,3,0,0,1.0,C,INC,INC,INC,INC,INC,INC,INC
Lea,0,0,0,0.0,A,1,0,0,0.3,B,7.6,PASS
Luna,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sandoval,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
San Juan,3,0,0,1.0,C,0,0,0,0.0,A,4.7,PASS
Santa Fe,0,0,0,0.0,A,1,0,0,0.3,B,4.6,PASS
Valencia,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
NEW MEXICO,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,123
