,,,,TOTAL VIRGINIA POPULATION 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,AGE COHORTS FOR AGE ADJUSTING FORMULAS,,,,,,,,,,,
FIPS,HSA,Planning,,Total,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Region,District,Locality,Population,0,1-4,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85&OVER,,0-4,5-14,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,0
105,3,1,Lee County,25146,250,1052,1367,1519,901,453,1534,1473,1781,1831,1753,1771,1967,1888,1724,1322,1038,652,501,369,,1302,2886,1354,1534,3254,3584,3738,3612,2360,1153,369,250
169,3,1,Scott County,23126,212,920,1148,1311,800,415,1212,1180,1286,1389,1582,1679,1736,1779,1660,1536,1200,878,659,544,,1132,2459,1215,1212,2466,2971,3415,3439,2736,1537,544,212
195,3,1,Wise County,41565,476,1850,2332,2413,1514,1240,3205,2759,2689,2745,2854,2729,3016,3010,2727,1906,1500,1105,811,684,,2326,4745,2754,3205,5448,5599,5745,5737,3406,1916,684,476
720,3,1,Norton City,4054,60,192,234,238,167,97,320,259,263,229,268,272,306,294,280,173,133,106,87,76,,252,472,264,320,522,497,578,574,306,193,76,60
27,3,2,Buchanan County,23581,204,841,1144,1294,839,479,1336,1406,1415,1409,1701,1891,2040,1914,1780,1341,1100,735,399,313,,1045,2438,1318,1336,2821,3110,3931,3694,2441,1134,313,204
51,3,2,Dickenson County,15741,159,677,916,942,527,341,829,861,981,989,1009,1156,1272,1242,1151,902,699,458,343,287,,836,1858,868,829,1842,1998,2428,2393,1601,801,287,159
167,3,2,Russell County,28749,280,1213,1580,1629,1050,628,1611,1503,1706,1809,1935,2101,2485,2302,2089,1575,1247,917,603,486,,1493,3209,1678,1611,3209,3744,4586,4391,2822,1520,486,280
185,3,2,Tazewell County,44715,466,1773,2512,2529,1629,1012,2448,2445,2742,2807,2846,3106,3514,3599,3384,2499,1919,1448,1102,935,,2239,5041,2641,2448,5187,5653,6620,6983,4418,2550,935,466
21,3,3,Bland County,6818,41,231,330,356,246,122,329,366,440,481,575,504,528,514,534,416,326,210,144,125,,272,686,368,329,806,1056,1032,1048,742,354,125,41
35,3,3,Carroll County,29981,247,1269,1647,1836,1063,596,1443,1442,1470,1831,2058,2232,2280,2359,2295,1891,1468,1120,767,667,,1516,3483,1659,1443,2912,3889,4512,4654,3359,1887,667,247
77,3,3,Grayson County,15328,123,539,724,875,588,305,753,711,672,907,989,1100,1224,1295,1253,959,825,610,479,397,,662,1599,893,753,1383,1896,2324,2548,1784,1089,397,123
173,3,3,Smyth County,32029,306,1347,1814,1870,1163,762,1860,1553,1796,1978,2209,2333,2387,2379,2327,1781,1491,1137,845,691,,1653,3684,1925,1860,3349,4187,4720,4706,3272,1982,691,306
