st_abbr,airport,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater,landsqmi,id,year
AK,4,147,93,91,139,39,42,70,582,7,135,442,180,72,5,355,84,253019.6,1,2011
AL,2,1,4,2,5,1,10,69,116,2,6,104,1,3,NULL,16,14,520.2,2,2011
CA,14,14,43,21,27,1,60,199,847,6,48,226,2,12,19,325,41,2290.4,3,2011
CT,22,15,39,130,12,11,87,286,1152,NULL,69,52,4,9,19,535,24,925,4,2011
DE,13,11,34,60,10,2,57,305,512,2,36,18,NULL,12,2,357,19,1975,5,2011
FL,72,267,672,672,99,19,593,1674,8822,4,604,287,41,74,22,5425,414,56504.8,6,2011
GA,3,13,50,53,13,2,53,223,719,3,48,26,NULL,10,10,214,22,5703.8,7,2011
HI,4,25,110,124,26,6,4,102,1045,4,29,64,1,19,NULL,285,9,7063,8,2011
IL,3,21,22,1,8,6,13,302,261,NULL,14,87,3,9,47,270,7,119.7,9,2011
IN,5,7,13,9,7,6,41,480,590,3,36,36,2,14,16,246,18,843.6,10,2011
LA,5,48,57,5,16,4,69,611,1325,25,108,433,5,24,4,420,79,8201.2,11,2011
MA,11,5,43,33,23,9,54,156,296,1,59,94,2,3,NULL,273,26,877.4,12,2011
MD,30,62,97,149,30,5,222,492,1174,7,98,80,11,22,8,1503,103,6487.8,13,2011
ME,14,23,55,124,12,NULL,120,97,316,1,73,37,3,5,10,352,53,3737.1,14,2011
MN,3,7,27,35,8,NULL,20,34,315,1,24,34,NULL,3,31,92,7,1160.4,15,2011
MS,2,14,17,61,3,3,31,193,537,1,25,75,3,4,NULL,150,15,1812.1,16,2011
NC,14,18,92,30,16,1,167,235,872,1,91,33,38,2,NULL,307,NULL,9545.6,17,2011
NH,NULL,NULL,2,6,3,NULL,4,14,44,1,6,16,NULL,NULL,4,8,2,35.9,18,2011
NJ,8,9,51,35,10,34,139,100,478,3,108,17,5,9,12,327,25,1020,19,2011
NY,32,36,35,50,44,1,123,353,1179,11,76,348,5,14,63,558,104,1180.7,20,2011
OH,2,2,5,1,11,NULL,11,136,162,1,17,86,3,12,5,39,40,281.5,21,2011
OR,4,11,48,41,2,1,72,69,272,NULL,36,84,14,NULL,NULL,121,43,8053.2,22,2011
PA,1,3,1,NULL,2,NULL,4,20,44,NULL,1,8,1,NULL,NULL,14,4,73.6,23,2011
PR,4,56,30,NULL,9,NULL,NULL,96,225,4,28,NULL,2,NULL,NULL,302,19,368.3,24,2011
RI,13,16,38,180,14,17,78,320,701,NULL,63,13,5,3,15,521,21,1084.7,25,2011
SC,7,24,47,121,70,8,111,4317,1581,8,30,82,420,11,1,362,1222,7056.2,26,2011
TX,22,40,81,91,24,12,85,3144,1791,74,116,645,1,23,20,685,136,7505.3,27,2011
VA,31,67,143,487,38,9,185,643,2346,20,161,197,39,37,34,1594,85,9012.1,28,2011
WA,32,48,122,297,48,5,218,613,3148,15,161,322,36,54,37,1810,91,19061,29,2011
WI,22,43,113,65,18,7,194,965,983,4,132,97,1,16,39,1116,94,10711.4,30,2011
