fips,ctystate,st_abbr,year,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater
01003,"Baldwin, AL",AL,2011,1589.8,5,NULL,4,29,23,1,1,24,13,223,NULL,16,4,1,NULL,NULL,62,19
01097,"Mobile, AL",AL,2011,1229.4,4,1,8,12,30,5,NULL,19,278,382,8,23,160,NULL,7,3,176,12
02013,"Aleutians East, AK",AK,2011,6981.9,11,NULL,6,1,3,8,1,NULL,NULL,12,NULL,6,19,17,4,NULL,8,3
02016,"Aleutians West, AK",AK,2011,4390.3,8,NULL,4,1,10,6,2,1,NULL,10,NULL,3,36,12,6,NULL,4,5
02020,"Anchorage, AK",AK,2011,1704.7,14,1,6,34,6,5,2,9,21,99,1,2,8,NULL,11,4,114,4
02050,"Bethel, AK",AK,2011,40570,38,NULL,34,3,NULL,39,4,3,NULL,6,NULL,31,10,28,1,NULL,53,2
02060,"Bristol Bay, AK",AK,2011,503.8,8,NULL,4,1,NULL,1,NULL,1,NULL,3,NULL,3,15,2,2,NULL,4,1
02070,"Dillingham, AK",AK,2011,18568.8,17,NULL,9,2,NULL,7,1,1,NULL,4,NULL,7,9,8,1,NULL,17,1
02100,"Haines, AK",AK,2011,2318.6,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,14,NULL,1,7,NULL,1,NULL,2,NULL
02105,"Hoonah-Angoon Census Area, AK",AK,2011,7524.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02110,"Juneau, AK",AK,2011,2701.9,2,1,1,9,7,3,NULL,1,13,35,NULL,1,26,NULL,2,NULL,21,3
02122,"Kenai Peninsula, AK",AK,2011,16075.3,43,NULL,10,15,8,3,3,9,25,62,5,8,42,7,7,NULL,37,9
02130,"Ketchikan Gateway, AK",AK,2011,4858.4,1,NULL,1,5,11,NULL,NULL,3,NULL,40,NULL,1,52,NULL,4,NULL,11,2
02150,"Kodiak Island, AK",AK,2011,6549.6,10,1,15,12,20,16,10,5,NULL,27,NULL,12,39,24,5,NULL,26,7
02164,"Lake and Peninsula, AK",AK,2011,23652,25,NULL,15,1,2,13,1,NULL,NULL,14,NULL,11,9,13,NULL,NULL,18,1
02170,"Matanuska-Susitna, AK",AK,2011,24607.9,65,1,1,13,2,NULL,NULL,8,NULL,76,NULL,2,1,NULL,2,1,23,1
02180,"Nome, AK",AK,2011,22961.8,35,NULL,17,7,NULL,15,11,2,NULL,32,NULL,13,6,34,3,NULL,38,9
02185,"North Slope, AK",AK,2011,88695.4,26,NULL,9,4,2,5,NULL,NULL,NULL,11,3,8,NULL,12,NULL,NULL,10,10
02188,"Northwest Arctic, AK",AK,2011,35572.6,18,NULL,9,3,3,9,3,1,13,9,NULL,9,7,24,2,NULL,15,7
02195,"Petersburg Census Area, AK",AK,2011,3282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02198,Prince of Wales-Hyder Census Area,AK,2011,3922.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02220,"Sitka, AK",AK,2011,2870.3,1,NULL,2,4,4,NULL,NULL,1,NULL,36,NULL,1,18,NULL,3,NULL,8,1
02230,"Skagway Municipality, AK",AK,2011,452.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02261,"Valdez-Cordova, AK",AK,2011,34239.9,30,NULL,5,8,8,6,NULL,7,NULL,108,1,2,37,5,4,NULL,11,2
02270,"Wade Hampton, AK",AK,2011,17081.4,17,NULL,13,2,NULL,15,3,1,NULL,2,NULL,18,5,15,NULL,NULL,43,7
02275,"Wrangell City and Borough, AK",AK,2011,2541.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02282,"Yakutat, AK",AK,2011,7649.5,9,NULL,1,1,NULL,1,1,NULL,NULL,73,NULL,2,6,NULL,1,NULL,5,2
06001,"Alameda, CA",CA,2011,739,3,10,16,21,28,4,NULL,14,196,561,NULL,29,34,3,17,33,568,10
06013,"Contra Costa, CA",CA,2011,715.9,2,6,7,10,21,14,1,15,286,500,11,35,50,6,10,26,370,14
06015,"Del Norte, CA",CA,2011,1006.4,1,2,1,5,NULL,NULL,NULL,5,2,62,NULL,2,NULL,NULL,NULL,NULL,24,1
06023,"Humboldt, CA",CA,2011,3568,3,1,5,26,4,4,1,27,14,379,NULL,12,25,NULL,NULL,NULL,104,7
06037,"Los Angeles, CA",CA,2011,4057.9,16,42,120,94,103,41,12,50,1735,3128,44,166,159,15,47,144,3230,19
06041,"Marin, CA",CA,2011,520.3,1,1,4,8,7,NULL,NULL,21,NULL,190,NULL,14,1,1,NULL,2,119,7
06045,"Mendocino, CA",CA,2011,3506.3,3,3,3,15,25,NULL,NULL,21,13,309,NULL,9,NULL,NULL,NULL,1,95,5
06053,"Monterey, CA",CA,2011,3280.6,3,4,4,44,14,3,1,34,8,329,NULL,18,NULL,NULL,1,12,150,7
06055,"Napa, CA",CA,2011,748.4,1,1,4,4,57,NULL,NULL,5,8,145,NULL,7,NULL,NULL,NULL,NULL,82,3
06059,"Orange, CA",CA,2011,790.6,2,11,34,11,43,8,2,16,388,888,3,33,NULL,3,8,26,917,4
06073,"San Diego, CA",CA,2011,4206.6,11,23,27,40,54,17,2,62,228,1277,1,73,73,2,8,2,993,9
06075,"San Francisco, CA",CA,2011,46.9,NULL,4,11,21,6,3,NULL,2,4,107,NULL,34,44,NULL,NULL,4,234,3
06079,"San Luis Obispo, CA",CA,2011,3298.6,2,11,7,34,14,2,1,19,28,357,2,14,NULL,1,3,8,105,8
06081,"San Mateo, CA",CA,2011,448.4,3,2,7,17,20,2,3,27,78,306,NULL,25,7,NULL,NULL,7,260,10
06083,"Santa Barbara, CA",CA,2011,2735.1,5,5,7,42,15,4,NULL,18,10,360,2,16,NULL,NULL,5,6,162,8
06085,"Santa Clara, CA",CA,2011,1290.1,5,3,13,27,40,6,2,19,214,883,NULL,22,NULL,2,4,31,567,3
06087,"Santa Cruz, CA",CA,2011,445.2,1,2,3,8,6,NULL,NULL,14,25,179,NULL,10,NULL,NULL,NULL,9,103,4
06095,"Solano, CA",CA,2011,821.8,3,1,7,4,18,NULL,NULL,16,72,323,3,16,6,NULL,3,4,141,8
06097,"Sonoma, CA",CA,2011,1575.8,3,4,10,17,58,14,NULL,47,20,560,NULL,12,NULL,NULL,NULL,2,240,10
06111,"Ventura, CA",CA,2011,1843.1,4,5,10,25,16,4,NULL,6,35,422,2,24,12,5,5,6,292,11
09001,"Fairfield, CT",CT,2011,624.9,2,20,8,26,97,5,11,62,180,769,NULL,37,16,3,4,16,354,15
09007,"Middlesex, CT",CT,2011,369.3,1,4,4,4,58,2,4,15,28,257,1,12,14,NULL,1,5,72,4
09009,"New Haven, CT",CT,2011,604.5,4,15,13,31,106,5,4,43,302,803,NULL,55,23,7,5,12,358,17
09011,"New London, CT",CT,2011,664.9,1,3,2,14,97,4,9,49,64,364,NULL,25,31,NULL,3,5,129,11
10001,"Kent, DE",DE,2011,586.2,2,5,1,7,14,2,NULL,17,43,100,NULL,9,NULL,NULL,NULL,NULL,73,2
10003,"New Castle, DE",DE,2011,426.3,2,5,8,12,19,6,2,19,201,339,2,10,19,NULL,10,2,220,6
10005,"Sussex, DE",DE,2011,936.1,2,3,2,15,28,2,NULL,21,69,84,NULL,17,2,NULL,3,NULL,64,11
11001,District of Columbia,DC,2011,61,NULL,7,17,16,1,4,1,3,15,147,1,34,NULL,2,2,1,315,1
12005,"Bay, FL",FL,2011,758.5,2,1,2,19,4,1,1,14,44,80,NULL,6,29,NULL,NULL,NULL,57,8
12009,"Brevard, FL",FL,2011,1015.7,6,4,7,19,NULL,2,NULL,24,71,176,NULL,22,33,1,NULL,NULL,178,23
12011,"Broward, FL",FL,2011,1209.8,4,2,25,18,14,6,4,28,97,635,NULL,37,18,2,9,NULL,418,12
12015,"Charlotte, FL",FL,2011,680.3,1,NULL,3,15,1,NULL,NULL,3,2,126,NULL,1,NULL,3,NULL,NULL,33,3
12017,"Citrus, FL",FL,2011,581.7,2,NULL,3,10,7,1,NULL,2,23,36,NULL,5,1,NULL,NULL,NULL,34,1
12019,"Clay, FL",FL,2011,604.4,NULL,NULL,2,3,11,NULL,1,5,18,43,NULL,5,NULL,NULL,NULL,NULL,55,18
12021,"Collier, FL",FL,2011,1998.3,4,1,2,13,NULL,NULL,NULL,9,NULL,294,NULL,12,NULL,NULL,NULL,NULL,81,9
12029,"Dixie, FL",FL,2011,705.1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,3,41,NULL,2,NULL,NULL,NULL,NULL,5,1
12031,"Duval, FL",FL,2011,762.2,5,6,11,38,3,5,NULL,5,179,578,NULL,5,78,NULL,18,1,289,55
12033,"Escambia, FL",FL,2011,656.5,1,NULL,4,12,13,3,NULL,10,88,173,NULL,4,22,NULL,2,2,112,8
12035,"Flagler, FL",FL,2011,485.5,1,NULL,1,3,NULL,NULL,NULL,4,12,65,NULL,4,NULL,1,NULL,NULL,13,6
12037,"Franklin, FL",FL,2011,534.7,1,NULL,1,4,NULL,NULL,NULL,2,NULL,38,NULL,4,NULL,NULL,NULL,NULL,9,2
12045,"Gulf, FL",FL,2011,564,NULL,NULL,2,3,1,1,NULL,6,2,36,NULL,3,2,NULL,NULL,NULL,9,4
12053,"Hernando, FL",FL,2011,472.5,1,NULL,4,3,10,1,NULL,8,7,35,NULL,7,NULL,NULL,NULL,NULL,30,NULL
12057,"Hillsborough, FL",FL,2011,1020.2,5,1,18,28,38,8,1,20,143,626,1,20,89,5,6,NULL,382,18
12061,"Indian River, FL",FL,2011,502.9,2,NULL,3,10,6,1,1,2,10,116,NULL,6,NULL,3,NULL,NULL,39,2
12065,"Jefferson, FL",FL,2011,598.1,NULL,NULL,NULL,3,5,1,NULL,3,NULL,56,NULL,3,NULL,NULL,NULL,NULL,8,2
12071,"Lee, FL",FL,2011,784.5,2,NULL,5,25,1,2,NULL,20,21,282,1,8,NULL,3,NULL,NULL,141,13
12075,"Levy, FL",FL,2011,1118.2,1,NULL,1,6,1,NULL,NULL,7,2,34,NULL,6,NULL,NULL,NULL,NULL,17,1
12077,"Liberty, FL",FL,2011,835.6,NULL,1,NULL,NULL,NULL,1,1,1,3,30,NULL,1,NULL,NULL,NULL,NULL,10,NULL
12081,"Manatee, FL",FL,2011,742.9,1,4,2,6,5,1,NULL,12,32,165,NULL,8,9,NULL,NULL,NULL,104,5
12085,"Martin, FL",FL,2011,543.5,1,1,2,12,8,2,NULL,3,10,88,NULL,5,NULL,5,NULL,NULL,46,5
