Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”,Name: “Table 1 of 1 on page 36 of 124”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2010,Report Period: 2010,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
06107,Catlett Fire Dept,Catlett Fire Dept,,,,,,,,,,,
Count,23,26,19,16,8,14,14,7,17,7,3,8,162
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,1,1,0,0,1,1,1,1,0,6
06108,Goldvein Fire Dept,Goldvein Fire Dept,,,,,,,,,,,
Count,0,1,5,0,0,0,0,0,0,0,0,0,6
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,1,0,0,0,0,0,0,0,0,0,1
,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,,,,,,,,,,
06110,,,,,,,,,,,,,
Count,28,27,15,5,10,5,15,18,17,14,7,23,184
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,2,0,0,1,0,0,0,1,5,2,0,5,16
06111,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,,,,,,,,,,
Count,13,9,16,8,14,9,12,6,9,11,8,0,115
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,3,4,5,1,1,2,0,3,3,2,0,25
Page 36 of 124,Page 36 of 124,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Fri Mar 11 09:48:56 EST 2011,Fri Mar 11 09:48:56 EST 2011
